OriginalCompanyName,CleanedCompanyName,Status,Timestamp
Denys Gilbert BVBA,Denys Gilbert,not found in KBO data table,2024-12-17 11:21:49
Warnier/Franky [VERHUUR VAN SPRINGKASTELEN MIKE],Warnier/Franky [VERHUUR VAN SPRINGKASTELEN MIKE],No result found for this search term,2024-12-17 11:22:04
exes NV,exes,ENT LP Stopped,2024-12-17 11:22:20
Van Bever/Linda,Van Bever/Linda,not found in KBO data table,2024-12-17 11:22:35
Vangeel Hurbin BVBA,Vangeel Hurbin,not found in KBO data table,2024-12-17 11:22:51
Legros/Albert,Legros/Albert,not found in KBO data table,2024-12-17 11:23:07
Desmet/Paul [COMPOSIT],Desmet/Paul [COMPOSIT],No result found for this search term,2024-12-17 11:23:22
ARABESQUE,ARABESQUE,ENT LP Stopped,2024-12-17 11:23:38
Mailleux Selexion Clix,Mailleux Selexion Clix,No result found for this search term,2024-12-17 11:23:53
Ego/Lucette,Ego/Lucette,not found in KBO data table,2024-12-17 11:24:09
Spillebeen/Philip,Spillebeen/Philip,not found in KBO data table,2024-12-17 11:24:24
Mozaik,Mozaik,ENT LP Stopped,2024-12-17 11:24:40
Viellevoye/S̩bastien,Viellevoye/S̩bastien,No result found for this search term,2024-12-17 11:24:55
Flightcare Belgium BVBA,Flightcare Belgium,not found in KBO data table,2024-12-17 11:25:11
Gerust Geweten ('t),Gerust Geweten ('t),not found in KBO data table,2024-12-17 11:25:27
Olivier Fr̩deric,Olivier Fr̩deric,No result found for this search term,2024-12-17 11:25:42
Immobilie P.H. Gestions &amp Conseils,Immobilie P.H. Gestions &amp Conseils,No result found for this search term,2024-12-17 11:25:58
Verschraegen H,Verschraegen H,not found in KBO data table,2024-12-17 11:26:13
Bello K,Bello K,not found in KBO data table,2024-12-17 11:26:29
Ki Karate Kobudo Dojo (Jutaikai-Budo),Ki Karate Kobudo Dojo (Jutaikai-Budo),No result found for this search term,2024-12-17 11:26:44
Clerens J P,Clerens J P,No result found for this search term,2024-12-17 11:27:00
Arca,Arca,ENT LP Active,2024-12-17 11:27:16
Kuborn/Jacques [KUBORN JACQUES],Kuborn/Jacques [KUBORN JACQUES],not found in KBO data table,2024-12-17 11:27:31
Ecole F.D.I,Ecole F.D.I,not found in KBO data table,2024-12-17 11:27:47
Wauters J,Wauters J,not found in KBO data table,2024-12-17 11:28:02
DDB Management Services,DDB Management Services,No result found for this search term,2024-12-17 11:28:18
Putzeys/Koen,Putzeys/Koen,not found in KBO data table,2024-12-17 11:28:34
Vanderhallen/Luc,Vanderhallen/Luc,not found in KBO data table,2024-12-17 11:28:49
Leroy-Cochez/A.,Leroy-Cochez/A.,No result found for this search term,2024-12-17 11:29:05
TW-Generation,TW-Generation,ENT LP Active,2024-12-17 11:29:20
Meerschaert S,Meerschaert S,not found in KBO data table,2024-12-17 11:29:36
Dury V Carrosserie,Dury V Carrosserie,No result found for this search term,2024-12-17 11:29:52
Decaigny J,Decaigny J,No result found for this search term,2024-12-17 11:30:07
Driehuizen,Driehuizen,ENT LP Stopped,2024-12-17 11:30:23
Brucar B.V.B.A.,Brucar B.V.B.A.,No result found for this search term,2024-12-17 11:30:38
Op De Beeck/Hubert,Op De Beeck/Hubert,No result found for this search term,2024-12-17 11:30:54
Degroote Marie-Rose,Degroote Marie-Rose,not found in KBO data table,2024-12-17 11:31:09
D'Inverno-Califice/C.,D'Inverno-Califice/C.,No result found for this search term,2024-12-17 11:31:25
Vancauwenberghe/Nicole [NICOTEX],Vancauwenberghe/Nicole [NICOTEX],No result found for this search term,2024-12-17 11:31:40
Claeys Hans Steenhouwerij,Claeys Hans Steenhouwerij,No result found for this search term,2024-12-17 11:31:56
Batrans SCRL,Batrans,ENT LP Stopped,2024-12-17 11:32:11
Delfino/Giuseppe,Delfino/Giuseppe,not found in KBO data table,2024-12-17 11:32:27
Martens/Raoul,Martens/Raoul,not found in KBO data table,2024-12-17 11:32:42
Facoprint,Facoprint,not found in KBO data table,2024-12-17 11:32:58
De Timmerman-D'Hollander/G.,De Timmerman-D'Hollander/G.,No result found for this search term,2024-12-17 11:33:14
Schatteman/Georges [SCHATTEMAN FILIP],Schatteman/Georges [SCHATTEMAN FILIP],No result found for this search term,2024-12-17 11:33:29
Assurvil,Assurvil,not found in KBO data table,2024-12-17 11:33:44
