OriginalCompanyName,CleanedCompanyName,Status,Timestamp
Zzmogh VZW,Zzmogh,EU Active,2024-11-26 10:37:15
Zzlite,Zzlite,No result found for this search term,2024-11-26 10:37:29
ZZIP BVBA,ZZIP,ENT LP Active,2024-11-26 10:37:40
ZZED NV,ZZED,ENT LP Active,2024-11-26 10:37:51
Zyx CVBA,Zyx,not found in KBO data table,2024-11-26 10:38:02
Electro Zwijsen Nv,Electro Zwijsen,ENT LP Active,2024-11-26 10:38:13
Zwick Roell Belux CV,Zwick Roell Belux,No result found for this search term,2024-11-26 10:38:23
DHATI BVBA,DHATI,ENT LP Stopped,2024-11-26 10:38:34
De Zwerver,De Zwerver,ENT LP Active,2024-11-26 10:38:45
Climax,Climax,ENT LP Stopped,2024-11-26 10:38:56
Climax,Climax,ENT LP Stopped,2024-11-26 10:39:07
Van Laer-Mazet/Chris,Van Laer-Mazet/Chris,No result found for this search term,2024-11-26 10:39:18
Zweko BVBA,Zweko,EU Stopped,2024-11-26 10:39:28
Albatros Zweefvliegclub,Albatros Zweefvliegclub,ENT LP Active,2024-11-26 10:39:39
P.J.F. BVBA,P.J.F.,ENT LP Stopped,2024-11-26 10:39:50
Brugs Motoren Bedrijf nv,Brugs Motoren Bedrijf,No result found for this search term,2024-11-26 10:40:00
Zeebrugse Visveiling NV,Zeebrugse Visveiling,not found in KBO data table,2024-11-26 10:40:11
Zuster Agnes,Zuster Agnes,EU Active,2024-11-26 10:40:21
YDA-Trans SPRL,YDA-Trans,ENT LP Active,2024-11-26 10:40:32
Zumtobel Lighting NV,Zumtobel Lighting,No result found for this search term,2024-11-26 10:40:43
Die Zukunft,Die Zukunft,not found in KBO data table,2024-11-26 10:40:53
De Boeck Zuivelhandel BVBA,De Boeck Zuivelhandel,not found in KBO data table,2024-11-26 10:41:04
St-Jozef Zuivelfabriek NV,St-Jozef Zuivelfabriek,No result found for this search term,2024-11-26 10:41:15
Theater Zuidpool-RVT,Theater Zuidpool-RVT,No result found for this search term,2024-11-26 10:41:26
Zuiderterras NV,Zuiderterras,ENT LP Active,2024-11-26 10:41:36
Brasserie Bleu Blanc,Brasserie Bleu Blanc,EU Active,2024-11-26 10:41:47
The Booking Agency,The Booking Agency,EU Active,2024-11-26 10:41:58
Zuiderhuis ('t) Het reishuis voor de actieve reiziger,Zuiderhuis ('t) Het reishuis voor de actieve reiziger,No result found for this search term,2024-11-26 10:42:09
Kids,Kids,not found in KBO data table,2024-11-26 10:42:21
ZUCCA Consulting SPRL,ZUCCA Consulting,ENT LP Stopped,2024-11-26 10:42:32
Zubair Furnishing,Zubair Furnishing,not found in KBO data table,2024-11-26 10:42:43
Z-Services,Z-Services,not found in KBO data table,2024-11-26 10:42:54
Z-Service BVBA,Z-Service,not found in KBO data table,2024-11-26 10:43:05
Strobbe M,Strobbe M,not found in KBO data table,2024-11-26 10:43:16
Zenner Restauratietechniek bvba,Zenner Restauratietechniek,No result found for this search term,2024-11-26 10:43:26
Scheir P Zakenkantoor,Scheir P Zakenkantoor,No result found for this search term,2024-11-26 10:43:37
Zoz communicatie & reclame,Zoz communicatie & reclame,No result found for this search term,2024-11-26 10:43:47
Zoutman Industries Nv,Zoutman Industries,EU Active,2024-11-26 10:43:58
Zoutman NV,Zoutman,ENT LP Active,2024-11-26 10:44:09
Zotte Morgen,Zotte Morgen,error,N/A
Mercedes-Benz Zottegem,Mercedes-Benz Zottegem,No result found for this search term,2024-11-26 10:44:51
Zo-Te-Zien BVBA,Zo-Te-Zien,ENT LP Stopped,2024-11-26 10:45:02
Zora NV,Zora,not found in KBO data table,2024-11-26 10:45:14
Zooté/Ingo,Zooté/Ingo,No result found for this search term,2024-11-26 10:45:25
Corten Zoopark [BRENTON],Corten Zoopark [BRENTON],error,N/A
ZoomZone!,ZoomZone!,not found in KBO data table,2024-11-26 10:46:06
Zoom Sonorisation,Zoom Sonorisation,No result found for this search term,2024-11-26 10:46:18
Zoom Production,Zoom Production,ENT LP Active,2024-11-26 10:46:28
Zoomart Oostende NV,Zoomart Oostende,ENT LP Stopped,2024-11-26 10:46:39
De Wever,De Wever,error,N/A
Zonnewende,Zonnewende,not found in KBO data table,2024-11-26 10:47:20
Seniorenresidentie Zonneweelde,Seniorenresidentie Zonneweelde,No result found for this search term,2024-11-26 10:47:31
De Zonnetempel bvba,De Zonnetempel,ENT LP Stopped,2024-11-26 10:47:43
Zonneschijn NV,Zonneschijn,not found in KBO data table,2024-11-26 10:47:53
Zonnecenter Tropical bvba,Zonnecenter Tropical,error,N/A
Zonnebloem,Zonnebloem,error,N/A
The Zone Zero Studio,The Zone Zero Studio,error,N/A
Spirit SCRL,Spirit,error,N/A
Zonepub,Zonepub,error,N/A
Zondag Zonnevakmensen,Zondag Zonnevakmensen,error,N/A
ZOL Campus A Dumont,ZOL Campus A Dumont,error,N/A
Voyages Wasteels [ZOHRA TRAVEL],Voyages Wasteels [ZOHRA TRAVEL],error,N/A
Ciofi/Max [ZOFF],Ciofi/Max [ZOFF],No result found for this search term,2024-11-26 10:52:14
Zanzibar,Zanzibar,EU Stopped,2024-11-26 10:52:25
Verheyen Carl,Verheyen Carl,not found in KBO data table,2024-11-26 10:52:36
NOORD-LIMBURGS REVALIDATIECENTRUM (N.L.R.C.) ZIEKENHUIS MAAS EN KEMPEN (CAMPUS BREE),NOORD-LIMBURGS REVALIDATIECENTRUM (N.L.R.C.) ZIEKENHUIS MAAS EN KEMPEN (CAMPUS BREE),No result found for this search term,2024-11-26 10:52:47
Zeebrugse Meubelcentrale BVBA,Zeebrugse Meubelcentrale,ENT LP Active,2024-11-26 10:52:57
Zloty Workforces BVBA,Zloty Workforces,No result found for this search term,2024-11-26 10:53:08
Z-Line Belgium SA,Z-Line Belgium SA,not found in KBO data table,2024-11-26 10:53:18
Zuidkempische Werkplaatsen,Zuidkempische Werkplaatsen,No result found for this search term,2024-11-26 10:53:29
Zakenkantoor Vanhoof NV,Zakenkantoor Vanhoof,ENT LP Active,2024-11-26 10:53:39
Immo Robijns BVBA,Immo Robijns,EU Stopped,2024-11-26 10:53:50
Zakenkantoor Vandenberghe NV,Zakenkantoor Vandenberghe,ENT LP Active,2024-11-26 10:54:01
Zitterik,Zitterik,No result found for this search term,2024-11-26 10:54:11
