OriginalCompanyName,CleanedCompanyName,Status,Timestamp
Artielle/C.,Artielle/C.,not found in KBO data table,12/17/2024 8:17
Paulca sprl,Paulca,ENT LP Stopped,12/17/2024 8:17
Peeters/Joseph,Peeters/Joseph,not found in KBO data table,12/17/2024 8:18
Fiducial Expertise,Fiducial Expertise,EU Stopped,12/17/2024 8:18
Faja Lobi,Faja Lobi,ENT LP Active,12/17/2024 8:18
Fondation pour l'architecture,Fondation pour l'architecture,not found in KBO data table,12/17/2024 8:19
Dialogic sa [DIALOGIC S.A.],Dialogic sa [DIALOGIC S.A.],not found in KBO data table,12/17/2024 8:19
Cambier D,Cambier D,not found in KBO data table,12/17/2024 8:19
Gun Productions BVBA,Gun Productions,ENT LP Active,12/17/2024 8:19
Konica Minolta Business Solutions (Belgium) NV,Konica Minolta Business Solutions (Belgium),EU Active,12/17/2024 8:20
Dethier B SA,Dethier B SA,not found in KBO data table,12/17/2024 8:20
Demeestere Rik,Demeestere Rik,not found in KBO data table,12/17/2024 8:20
Briffaerts bvba,Briffaerts,ENT LP Stopped,12/17/2024 8:21
Notteboom/Sofie,Notteboom/Sofie,not found in KBO data table,12/17/2024 8:21
Dams Alex bvba [DAMS ALEX CHAPE-INDUSTRIEVLOEREN],Dams Alex  [DAMS ALEX CHAPE-INDUSTRIEVLOEREN],not found in KBO data table,12/17/2024 8:21
Kapas BVBA,Kapas,EU Active,12/17/2024 8:22
MTO [M.T.O.],MTO [M.T.O.],not found in KBO data table,12/17/2024 8:22
Raes D,Raes D,not found in KBO data table,12/17/2024 8:22
Charlier Tuinen bvba,Charlier Tuinen,ENT LP Active,12/17/2024 8:22
Serafino Decoratie BVBA,Serafino Decoratie,ENT LP Active,12/17/2024 8:23
Ceulenaere,Ceulenaere,not found in KBO data table,12/17/2024 8:23
PM Zeefdruk,PM Zeefdruk,EU Active,12/17/2024 8:24
Beauty Spot (The),Beauty Spot (The),not found in KBO data table,12/17/2024 8:24
S.V.T. BVBA,S.V.T.,ENT LP Active,12/17/2024 8:24
ActiveIdea SA,ActiveIdea SA,not found in KBO data table,12/17/2024 8:25
Rifo BVBA,Rifo,ENT LP Active,12/17/2024 8:25
Bulcke P,Bulcke P,not found in KBO data table,12/17/2024 8:26
Garden Sides,Garden Sides,EU Stopped,12/17/2024 8:26
BS Parts,BS Parts,not found in KBO data table,12/17/2024 8:27
Stoa [STOA NV],Stoa [STOA ],not found in KBO data table,12/17/2024 8:28
Nijs/Steven,Nijs/Steven,not found in KBO data table,12/17/2024 8:28
UBCA,UBCA,not found in KBO data table,12/17/2024 8:29
Van De Pol,Van De Pol,not found in KBO data table,12/17/2024 8:29
Nextage,Nextage,ENT LP Active,12/17/2024 8:29
Medata Nv,Medata,ENT LP Stopped,12/17/2024 8:30
Orangette (L'),Orangette (L'),not found in KBO data table,12/17/2024 8:30
EXELMANS KRISTOF,EXELMANS KRISTOF,not found in KBO data table,12/17/2024 8:30
JMP Cars,JMP Cars,not found in KBO data table,12/17/2024 8:30
Publi Dema BVBA,Publi Dema,ENT LP Active,12/17/2024 8:31
Vervaeke,Vervaeke,not found in KBO data table,12/17/2024 8:31
Lemoine Belgium NV,Lemoine Belgium,ENT LP Stopped,12/17/2024 8:31
Impaco,Impaco,ENT LP Stopped,12/17/2024 8:32
Transunie,Transunie,ENT LP Stopped,12/17/2024 8:32
Vlaamse Judofederatie VZW,Vlaamse Judofederatie,EU Active,12/17/2024 8:32
International Lashing Systems nv [INTERNATIONAL LASHING SYSTEMS - MARITIME CONSOLIDATORS BELGIUM],International Lashing Systems  [INTERNATIONAL LASHING SYSTEMS - MARITIME CONSOLIDATORS BELGIUM],not found in KBO data table,12/17/2024 8:33
Promelek,Promelek,not found in KBO data table,12/17/2024 8:33
Rivi?ra B BVBA,Rivi?ra B,not found in KBO data table,12/17/2024 8:34
Ickx Design,Ickx Design,EU Active,12/17/2024 8:34
Thys F & J,Thys F & J,not found in KBO data table,12/17/2024 8:34
Cowa Europe,Cowa Europe,ENT LP Active,12/17/2024 8:35
CEM Container Barging NV,CEM Container Barging,EU Active,12/17/2024 8:35
Marissens Kantoor,Marissens Kantoor,not found in KBO data table,12/17/2024 8:35
Bureau No?l,Bureau No?l,not found in KBO data table,12/17/2024 8:36
D'Hondt Geert,D'Hondt Geert,EU Stopped,12/17/2024 8:36
Maison des Jeunes,Maison des Jeunes,not found in KBO data table,12/17/2024 8:36
Dimitex Diffusion SPRL,Dimitex Diffusion,ENT LP Stopped,12/17/2024 8:37
Verstraete Philip,Verstraete Philip,not found in KBO data table,12/17/2024 8:38
B & S Projects BVBA,B & S Projects,EU Active,12/17/2024 8:39
Nathalie's Trimsalon,Nathalie's Trimsalon,EU Active,12/17/2024 8:39
RRCO,RRCO,ENT LP Stopped,12/17/2024 8:39
Veys M,Veys M,not found in KBO data table,12/17/2024 8:40
Trucaroul nv,Trucaroul,not found in KBO data table,12/17/2024 8:40
Panos,Panos,EU Active,12/17/2024 8:40
Pommereul E,Pommereul E,not found in KBO data table,12/17/2024 8:40
Babymoov,Babymoov,not found in KBO data table,12/17/2024 8:46
NASIM,NASIM,ENT LP Stopped,12/17/2024 8:46
Hall 78 Sa,Hall 78 Sa,not found in KBO data table,12/17/2024 8:46
Beerens Alain SPRL,Beerens Alain,ENT LP Stopped,12/17/2024 8:17
Pro-Steam BVBA,Pro-Steam,ENT LP Active,12/17/2024 8:17
Cabinet d'avocats Glaude,Cabinet d'avocats Glaude,not found in KBO data table,12/17/2024 8:18
Chocofino BVBA,Chocofino,ENT LP Active,12/17/2024 8:18
Turi Carrelages SPRL,Turi Carrelages,not found in KBO data table,12/17/2024 8:19
De Vogeleer Nv,De Vogeleer,not found in KBO data table,12/17/2024 8:19
Forlan 3 SPRL,Forlan 3,ENT LP Active,12/17/2024 8:19
Goosens/Michael,Goosens/Michael,not found in KBO data table,12/17/2024 8:20
Carron Bjoke,Carron Bjoke,EU Stopped,12/17/2024 8:20
Daemshof,Daemshof,EU Active,12/17/2024 8:20
Mallinder L,Mallinder L,not found in KBO data table,12/17/2024 8:21
9G,9G,EU Stopped,12/17/2024 8:21
Piercy/Vivien,Piercy/Vivien,not found in KBO data table,12/17/2024 8:22
La Bonne Bouteille SPRL,La Bonne Bouteille,ENT LP Stopped,12/17/2024 8:22
Bovan BVBA,Bovan,ENT LP Stopped,12/17/2024 8:22
G-Interieur BVBA,G-Interieur,ENT LP Active,12/17/2024 8:22
Syndicat d'Initiative,Syndicat d'Initiative,not found in KBO data table,12/17/2024 8:23
Prefa-Eddy Roosen,Prefa-Eddy Roosen,not found in KBO data table,12/17/2024 8:23
Vermoortele/Et,Vermoortele/Et,not found in KBO data table,12/17/2024 8:24
Prognoz Europe SPRL,Prognoz Europe,ENT LP Stopped,12/17/2024 8:24
Bonobo Apart hotel BVBA,Bonobo Apart hotel,ENT LP Active,12/17/2024 8:25
Langers Kris BVBA,Langers Kris,not found in KBO data table,12/17/2024 8:25
Folders Bedeling BVBA,Folders Bedeling,ENT LP Stopped,12/17/2024 8:25
Van Gucht/Nicole,Van Gucht/Nicole,not found in KBO data table,12/17/2024 8:25
Prestone,Prestone,ENT LP Stopped,12/17/2024 8:27
Rotexco NV,Rotexco,ENT LP Stopped,12/17/2024 8:27
Van Den Zegel/Roger,Van Den Zegel/Roger,not found in KBO data table,12/17/2024 8:27
FLORAIR 3000 SA,FLORAIR 3000 SA,not found in KBO data table,12/17/2024 8:27
Gueuffen D,Gueuffen D,not found in KBO data table,12/17/2024 8:28
AZ ST LUCAS BRUGGE,AZ ST LUCAS BRUGGE,not found in KBO data table,12/17/2024 8:28
Dakrubbercentrale BVBA,Dakrubbercentrale,ENT LP Active,12/17/2024 8:29
Eurosol BVBA,Eurosol,ENT LP Stopped,12/17/2024 8:29
Noa Productions SPRL,Noa Productions,ENT LP Active,12/17/2024 8:29
Cieffe Benelux BVBA,Cieffe Benelux,not found in KBO data table,12/17/2024 8:30
Detraux L,Detraux L,not found in KBO data table,12/17/2024 8:30
Mertens/Jozef,Mertens/Jozef,not found in KBO data table,12/17/2024 8:30
Flahy H,Flahy H,not found in KBO data table,12/17/2024 8:31
Gunst/Leocadie,Gunst/Leocadie,not found in KBO data table,12/17/2024 8:31
Bloemenrijk BVBA,Bloemenrijk,ENT LP Stopped,12/17/2024 8:31
Altemp NV,Altemp,ENT LP Active,12/17/2024 8:32
JGI-Computers,JGI-Computers,EU Stopped,12/17/2024 8:32
Investigus Agency,Investigus Agency,EU Stopped,12/17/2024 8:32
Van De Velde/S.,Van De Velde/S.,not found in KBO data table,12/17/2024 8:33
"Kinderwerking ""'t Dokske""","Kinderwerking ""'t Dokske""",not found in KBO data table,12/17/2024 8:33
Te Voet,Te Voet,not found in KBO data table,12/17/2024 8:33
Simons S.,Simons S.,not found in KBO data table,12/17/2024 8:33
Verbiest C,Verbiest C,not found in KBO data table,12/17/2024 8:34
Van Damme/Petra,Van Damme/Petra,not found in KBO data table,12/17/2024 8:34
Gesves.com,Gesves.com,EU Active,12/17/2024 8:34
Rugtier L,Rugtier L,not found in KBO data table,12/17/2024 8:35
Sellerie de Waimes,Sellerie de Waimes,EU Active,12/17/2024 8:36
Verbist/Paul,Verbist/Paul,not found in KBO data table,12/17/2024 8:36
A.F. Security,A.F. Security,EU Stopped,12/17/2024 8:37
Bloemenkorf (De),Bloemenkorf (De),not found in KBO data table,12/17/2024 8:37
Rolly/Johan,Rolly/Johan,not found in KBO data table,12/17/2024 8:37
Interact Consultancy,Interact Consultancy,ENT LP Stopped,12/17/2024 8:38
Rob,Rob,not found in KBO data table,12/17/2024 8:38
Theunis/D.,Theunis/D.,not found in KBO data table,12/17/2024 8:39
Transluben SPRL,Transluben,ENT LP Active,12/17/2024 8:39
Herman/Jozef,Herman/Jozef,not found in KBO data table,12/17/2024 8:39
La Couronne [AANNEMINGSBEDRIJF LA COURONNE],La Couronne [AANNEMINGSBEDRIJF LA COURONNE],not found in KBO data table,12/17/2024 8:40
Lescrauwaet,Lescrauwaet,not found in KBO data table,12/17/2024 8:40
Bernister (Le) SA,Bernister (Le) SA,not found in KBO data table,12/17/2024 8:42
De Braekeleer Karen,De Braekeleer Karen,not found in KBO data table,12/17/2024 8:42
Suetens Filip,Suetens Filip,not found in KBO data table,12/17/2024 8:43
Slabbinck S,Slabbinck S,not found in KBO data table,12/17/2024 8:17
Benali/Mohammed,Benali/Mohammed,not found in KBO data table,12/17/2024 8:18
De Paepe/Liesbeth,De Paepe/Liesbeth,not found in KBO data table,12/17/2024 8:19
Cartopack NV,Cartopack,EU Active,12/17/2024 8:19
Conceptelec,Conceptelec,EU Stopped,12/17/2024 8:19
Hanson Aggregates Belgium nv,Hanson Aggregates Belgium,ENT LP Stopped,12/17/2024 8:19
Stickelmann,Stickelmann,not found in KBO data table,12/17/2024 8:20
Gouleh,Gouleh,ENT LP Stopped,12/17/2024 8:21
Just Communication,Just Communication,ENT LP Active,12/17/2024 8:21
Stockel Sports,Stockel Sports,EU Stopped,12/17/2024 8:21
Herremans/Daniel,Herremans/Daniel,not found in KBO data table,12/17/2024 8:22
Perneel Champignons BVBA,Perneel Champignons,not found in KBO data table,12/17/2024 8:22
