company_name,Sanctioned Names,Status,matched_keywords,Total_Score,risk_level
9g,No Match,error,No relevant keywords,2.0,medium
a.b.c. kickers bvba,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
a.d. froidmont,No Match,EU Stopped,court,10.0,medium
a.f. security,No Match,EU Stopped,No relevant keywords,5.0,medium
a.f.m. new sa,No Match,not found in KBO data table,No relevant keywords,2.0,medium
a.m.d.i.,No Match,not found in KBO data table,No relevant keywords,2.0,medium
aan de watergang nv,No Match,not found in KBO data table,No relevant keywords,2.0,medium
abi place,No Match,ENT LP Active,No relevant keywords,1.0,medium
ackerman bvba,No Match,ENT LP Active,audit,7.0,medium
activeidea sa,No Match,not found in KBO data table,No relevant keywords,2.0,medium
adeac sa,No Match,not found in KBO data table,No relevant keywords,2.0,medium
agence locale emploi,No Match,not found in KBO data table,No relevant keywords,2.0,medium
agora deinze,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
airport 2000 sprl,No Match,not found in KBO data table,court,7.0,medium
akeru,No Match,error,No relevant keywords,2.0,medium
algemene aannemingen merckx,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
alia consult,No Match,not found in KBO data table,No relevant keywords,2.0,medium
altemp nv,No Match,ENT LP Active,No relevant keywords,1.0,medium
alterimmo,No Match,EU Active,No relevant keywords,1.0,medium
amadeus,No Match,ENT LP Stopped,"court, stock",9.0,medium
andries/frieda,No Match,not found in KBO data table,No relevant keywords,2.0,medium
anja,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
anseeuw houthandel bvba,No Match,error,No relevant keywords,2.0,medium
aquapunt d'autreppe sprl,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
aragonite bvba,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
art-toit sa,No Match,not found in KBO data table,No relevant keywords,2.0,medium
artielle/c.,No Match,not found in KBO data table,No relevant keywords,2.0,medium
association belge des enseignants & pratiquants de yoga (a.b.e.p.y.),No Match,not found in KBO data table,No relevant keywords,2.0,medium
auto's bart,No Match,error,No relevant keywords,2.0,medium
autorijschool gino,No Match,error,No relevant keywords,2.0,medium
aventure parc,No Match,not found in KBO data table,No relevant keywords,2.0,medium
avva systems bvba,No Match,ENT LP Active,No relevant keywords,1.0,medium
axel troch bvba,No Match,error,No relevant keywords,2.0,medium
az st lucas brugge,No Match,error,No relevant keywords,2.0,medium
azet,No Match,error,No relevant keywords,2.0,medium
b & s projects bvba,No Match,EU Active,liquidation,8.0,medium
b next management sprl,No Match,ENT LP Active,No relevant keywords,1.0,medium
b.s.n. bvba,No Match,ENT LP Active,No relevant keywords,1.0,medium
babymoov,No Match,not found in KBO data table,No relevant keywords,2.0,medium
baes/pierre,No Match,not found in KBO data table,No relevant keywords,2.0,medium
bap-asmb,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
beauty spot (the),No Match,not found in KBO data table,No relevant keywords,2.0,medium
bebop bvba,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
beeckmans traiteur nv,No Match,error,No relevant keywords,2.0,medium
beerens alain sprl,No Match,ENT LP Stopped,liquidation,10.0,medium
behague f,No Match,not found in KBO data table,No relevant keywords,2.0,medium
benali/mohammed,No Match,not found in KBO data table,No relevant keywords,2.0,medium
berlaar,No Match,error,No relevant keywords,2.0,medium
bermalux bvba,No Match,ENT LP Stopped,bankruptcy,11.0,medium
bernister (le) sa,No Match,not found in KBO data table,No relevant keywords,2.0,medium
bexco fibres nv,No Match,error,offshore,31.0,prohibited
bij els,No Match,error,No relevant keywords,2.0,medium
bils exclusive travel bvba,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
bionerga,No Match,ENT LP Active,No relevant keywords,1.0,medium
bivit nv,No Match,ENT LP Active,stock,0.0,low
bloemania,No Match,EU Stopped,No relevant keywords,5.0,medium
bloemenkorf (de),No Match,not found in KBO data table,No relevant keywords,2.0,medium
bloemenrijk bvba,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
blond s.,No Match,not found in KBO data table,No relevant keywords,2.0,medium
blue island,No Match,ENT LP Active,"settlement, stock, settlement",10.0,medium
body x - trem,No Match,not found in KBO data table,No relevant keywords,2.0,medium
boes/g.,No Match,not found in KBO data table,No relevant keywords,2.0,medium
bogimac engineering nv,No Match,EU Stopped,No relevant keywords,5.0,medium
bols paul bvba,No Match,ENT LP Active,No relevant keywords,1.0,medium
bonobo apart hotel bvba,No Match,error,No relevant keywords,2.0,medium
bourgeois/jean-paul,No Match,not found in KBO data table,No relevant keywords,2.0,medium
bouw begeleidings bureau bvba,No Match,ENT LP Active,No relevant keywords,1.0,medium
bouwonderneming sterckx bvba,No Match,not found in KBO data table,liquidation,9.0,medium
bovan bvba,No Match,error,No relevant keywords,2.0,medium
brabo cvba,No Match,EU Active,audit,6.0,medium
brasseur henry sa,No Match,not found in KBO data table,No relevant keywords,2.0,medium
briffaerts bvba,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
browaeys/peter,No Match,not found in KBO data table,No relevant keywords,2.0,medium
bs parts,No Match,not found in KBO data table,No relevant keywords,2.0,medium
bulcke p,No Match,not found in KBO data table,No relevant keywords,2.0,medium
buracom bvba,No Match,not found in KBO data table,No relevant keywords,2.0,medium
bureau no?l,No Match,not found in KBO data table,stock,-1.0,low
burrick pia,No Match,not found in KBO data table,No relevant keywords,2.0,medium
c.m.s. sa [senec],No Match,not found in KBO data table,No relevant keywords,2.0,medium
cabinet d'avocats glaude,No Match,not found in KBO data table,arbitration,7.0,medium
cambier d,No Match,not found in KBO data table,No relevant keywords,2.0,medium
carlier/xavier,No Match,not found in KBO data table,No relevant keywords,2.0,medium
carpet-stock m.d.m.,No Match,not found in KBO data table,stock,2.0,medium
carron bjoke,No Match,error,No relevant keywords,2.0,medium
carte blanche sprl,No Match,EU Stopped,liquidation,10.0,medium
cartopack nv,No Match,EU Active,No relevant keywords,1.0,medium
cartovan bvba,No Match,ENT LP Stopped,No relevant keywords,5.0,medium
celtic ireland bvba,No Match,EU Stopped,"liquidation, court",18.0,high
cem container barging nv,No Match,EU Active,No relevant keywords,1.0,medium
centre culturel d'ans,No Match,error,No relevant keywords,2.0,medium
ceulenaere,No Match,not found in KBO data table,No relevant keywords,2.0,medium
ceyssens/jack,No Match,not found in KBO data table,No relevant keywords,2.0,medium
change vr consult,No Match,error,No relevant keywords,2.0,medium
charlier tuinen bvba,No Match,ENT LP Active,No relevant keywords,1.0,medium
chauffage clarembaux sa,No Match,not found in KBO data table,No relevant keywords,2.0,medium
