OriginalCompanyName,CleanedCompanyName,Status,Timestamp
Artielle/C.,Artielle/C.,not found in KBO data table,2024-12-17 08:17:41
Paulca sprl,Paulca,ENT LP Stopped,2024-12-17 08:17:57
Peeters/Joseph,Peeters/Joseph,not found in KBO data table,2024-12-17 08:18:13
Fiducial Expertise,Fiducial Expertise,EU Stopped,2024-12-17 08:18:29
Faja Lobi,Faja Lobi,ENT LP Active,2024-12-17 08:18:45
Fondation pour l'architecture,Fondation pour l'architecture,not found in KBO data table,2024-12-17 08:19:01
Dialogic sa [DIALOGIC S.A.],Dialogic sa [DIALOGIC S.A.],not found in KBO data table,2024-12-17 08:19:17
Cambier D,Cambier D,not found in KBO data table,2024-12-17 08:19:32
Gun Productions BVBA,Gun Productions,ENT LP Active,2024-12-17 08:19:48
Konica Minolta Business Solutions (Belgium) NV,Konica Minolta Business Solutions (Belgium),EU Active,2024-12-17 08:20:04
Dethier B SA,Dethier B SA,not found in KBO data table,2024-12-17 08:20:35
Demeestere Rik,Demeestere Rik,not found in KBO data table,2024-12-17 08:20:51
Briffaerts bvba,Briffaerts,ENT LP Stopped,2024-12-17 08:21:06
Notteboom/Sofie,Notteboom/Sofie,not found in KBO data table,2024-12-17 08:21:37
Dams Alex bvba [DAMS ALEX CHAPE-INDUSTRIEVLOEREN],Dams Alex  [DAMS ALEX CHAPE-INDUSTRIEVLOEREN],not found in KBO data table,2024-12-17 08:21:53
Kapas BVBA,Kapas,EU Active,2024-12-17 08:22:09
MTO [M.T.O.],MTO [M.T.O.],not found in KBO data table,2024-12-17 08:22:25
Raes D,Raes D,not found in KBO data table,2024-12-17 08:22:41
Charlier Tuinen bvba,Charlier Tuinen,ENT LP Active,2024-12-17 08:22:56
Serafino Decoratie BVBA,Serafino Decoratie,ENT LP Active,2024-12-17 08:23:43
Ceulenaere,Ceulenaere,not found in KBO data table,2024-12-17 08:23:59
PM Zeefdruk,PM Zeefdruk,EU Active,2024-12-17 08:24:15
Beauty Spot (The),Beauty Spot (The),not found in KBO data table,2024-12-17 08:24:31
S.V.T. BVBA,S.V.T.,ENT LP Active,2024-12-17 08:24:46
ActiveIdea SA,ActiveIdea SA,not found in KBO data table,2024-12-17 08:25:02
Rifo BVBA,Rifo,ENT LP Active,2024-12-17 08:25:17
Bulcke P,Bulcke P,not found in KBO data table,2024-12-17 08:26:04
Garden Sides,Garden Sides,EU Stopped,2024-12-17 08:26:35
BS Parts,BS Parts,not found in KBO data table,2024-12-17 08:27:55
Stoa [STOA NV],Stoa [STOA ],not found in KBO data table,2024-12-17 08:28:41
Nijs/Steven,Nijs/Steven,not found in KBO data table,2024-12-17 08:28:57
UBCA,UBCA,not found in KBO data table,2024-12-17 08:29:13
Van De Pol,Van De Pol,not found in KBO data table,2024-12-17 08:29:31
Nextage,Nextage,ENT LP Active,2024-12-17 08:29:46
Medata Nv,Medata,ENT LP Stopped,2024-12-17 08:30:02
Orangette (L'),Orangette (L'),not found in KBO data table,2024-12-17 08:30:18
EXELMANS KRISTOF,EXELMANS KRISTOF,not found in KBO data table,2024-12-17 08:30:33
JMP Cars,JMP Cars,not found in KBO data table,2024-12-17 08:30:49
Publi Dema BVBA,Publi Dema,ENT LP Active,2024-12-17 08:31:20
Vervaeke,Vervaeke,not found in KBO data table,2024-12-17 08:31:37
Lemoine Belgium NV,Lemoine Belgium,ENT LP Stopped,2024-12-17 08:31:53
Impaco,Impaco,ENT LP Stopped,2024-12-17 08:32:24
Transunie,Transunie,ENT LP Stopped,2024-12-17 08:32:39
Vlaamse Judofederatie VZW,Vlaamse Judofederatie,EU Active,2024-12-17 08:32:55
International Lashing Systems nv [INTERNATIONAL LASHING SYSTEMS - MARITIME CONSOLIDATORS BELGIUM],International Lashing Systems  [INTERNATIONAL LASHING SYSTEMS - MARITIME CONSOLIDATORS BELGIUM],not found in KBO data table,2024-12-17 08:33:10
Promelek,Promelek,not found in KBO data table,2024-12-17 08:33:41
Rivi?ra B BVBA,Rivi?ra B,not found in KBO data table,2024-12-17 08:34:12
Ickx Design,Ickx Design,EU Active,2024-12-17 08:34:43
Thys F & J,Thys F & J,not found in KBO data table,2024-12-17 08:34:59
Cowa Europe,Cowa Europe,ENT LP Active,2024-12-17 08:35:15
CEM Container Barging NV,CEM Container Barging,EU Active,2024-12-17 08:35:30
Marissens Kantoor,Marissens Kantoor,not found in KBO data table,2024-12-17 08:35:46
Bureau No?l,Bureau No?l,not found in KBO data table,2024-12-17 08:36:01
D'Hondt Geert,D'Hondt Geert,EU Stopped,2024-12-17 08:36:17
Maison des Jeunes,Maison des Jeunes,not found in KBO data table,2024-12-17 08:36:34
Dimitex Diffusion SPRL,Dimitex Diffusion,ENT LP Stopped,2024-12-17 08:37:05
Verstraete Philip,Verstraete Philip,not found in KBO data table,2024-12-17 08:38:54
B & S Projects BVBA,B & S Projects,EU Active,2024-12-17 08:39:09
Nathalie's Trimsalon,Nathalie's Trimsalon,EU Active,2024-12-17 08:39:25
RRCO,RRCO,ENT LP Stopped,2024-12-17 08:39:41
Veys M,Veys M,not found in KBO data table,2024-12-17 08:40:12
Trucaroul nv,Trucaroul,not found in KBO data table,2024-12-17 08:40:27
Panos,Panos,EU Active,2024-12-17 08:40:43
Pommereul E,Pommereul E,not found in KBO data table,2024-12-17 08:40:59
Babymoov,Babymoov,not found in KBO data table,2024-12-17 08:46:05
NASIM,NASIM,ENT LP Stopped,2024-12-17 08:46:20
Hall 78 Sa,Hall 78 Sa,not found in KBO data table,2024-12-17 08:46:36
Beerens Alain SPRL,Beerens Alain,ENT LP Stopped,2024-12-17 08:17:41
Pro-Steam BVBA,Pro-Steam,ENT LP Active,2024-12-17 08:17:57
Cabinet d'avocats Glaude,Cabinet d'avocats Glaude,not found in KBO data table,2024-12-17 08:18:13
Chocofino BVBA,Chocofino,ENT LP Active,2024-12-17 08:18:45
Turi Carrelages SPRL,Turi Carrelages,not found in KBO data table,2024-12-17 08:19:00
De Vogeleer Nv,De Vogeleer,not found in KBO data table,2024-12-17 08:19:32
Forlan 3 SPRL,Forlan 3,ENT LP Active,2024-12-17 08:19:48
Goosens/Michael,Goosens/Michael,not found in KBO data table,2024-12-17 08:20:03
Carron Bjoke,Carron Bjoke,EU Stopped,2024-12-17 08:20:19
Daemshof,Daemshof,EU Active,2024-12-17 08:20:50
Mallinder L,Mallinder L,not found in KBO data table,2024-12-17 08:21:21
9G,9G,EU Stopped,2024-12-17 08:21:52
Piercy/Vivien,Piercy/Vivien,not found in KBO data table,2024-12-17 08:22:08
La Bonne Bouteille SPRL,La Bonne Bouteille,ENT LP Stopped,2024-12-17 08:22:23
Bovan BVBA,Bovan,ENT LP Stopped,2024-12-17 08:22:39
G-Interieur BVBA,G-Interieur,ENT LP Active,2024-12-17 08:22:55
Syndicat d'Initiative,Syndicat d'Initiative,not found in KBO data table,2024-12-17 08:23:43
Prefa-Eddy Roosen,Prefa-Eddy Roosen,not found in KBO data table,2024-12-17 08:23:59
