mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,Car model
18,8,307,130,3504,12,70,1,chevrolet 
15,8,429,198,4341,10,70,1,ford 
15,8,383,170,3563,10,70,1,dodge 
15,8,400,150,3761,9.5,70,1,chevrolet 
24,4,113,95,2372,15,70,3,toyota 
27,4,97,88,2130,14.5,70,3,datsun 
26,4,121,113,2234,12.5,70,2,bmw 
21,6,199,90,2648,15,70,1,amc 
11,8,318,210,4382,13.5,70,1,dodge 
25,4,113,95,2228,14,71,3,toyota 
16,6,225,105,3439,15.5,71,1,plymouth 
14,8,350,165,4209,12,71,1,chevrolet 
14,8,318,150,4096,13,71,1,plymouth 
13,8,400,175,5140,12,71,1,pontiac 
31,4,71,65,1773,19,71,3,toyota 
26,4,91,70,1955,20.5,71,1,plymouth 
24,4,113,95,2278,15.5,72,3,toyota 
25,4,97.5,80,2126,17,72,1,dodge 
20,4,140,90,2408,19.5,72,1,chevrolet 
21,4,122,86,2226,16.5,72,1,ford 
13,8,350,165,4274,12,72,1,chevrolet 
17,8,304,150,3672,11.5,72,1,amc 
12,8,350,160,4456,13.5,72,1,oldsmobile 
13,8,302,140,4294,16,72,1,ford 
14,8,318,150,4077,14,72,1,plymouth 
28,4,97,92,2288,17,72,3,datsun 
27,4,97,88,2100,16.5,72,3,toyota 
13,8,350,175,4100,13,73,1,buick 
12,8,455,225,4951,11,73,1,buick 
26,4,97,46,1950,21,73,2,volkswagen 
11,8,400,150,4997,14,73,1,chevrolet 
12,8,400,167,4906,12.5,73,1,ford 
12,8,350,180,4499,12.5,73,1,oldsmobile 
16,8,400,230,4278,9.5,73,1,pontiac 
29,4,68,49,1867,19.5,73,2,fiat 
20,4,114,91,2582,14,73,2,audi 
15,8,318,150,3399,11,73,1,dodge 
21,6,200,?,2875,17,74,1,ford 
19,6,232,100,2901,16,74,1,amc 
15,6,250,100,3336,17,74,1,chevrolet 
13,8,350,150,4699,14.5,74,1,buick 
26,4,79,67,1963,15.5,74,2,volkswagen 
26,4,97,78,2300,14.5,74,2,opel 
14,8,351,148,4657,13.5,75,1,ford 
17,6,231,110,3907,21,75,1,buick 
13,8,302,129,3169,12,75,1,ford 
20,6,232,100,2914,16,75,1,amc 
24,4,119,97,2545,17,75,3,datsun 
23,4,120,88,2957,17,75,2,peugeot 
24.5,4,98,60,2164,22.1,76,1,chevrolet 
20,6,225,100,3651,17.7,76,1,dodge 
19,6,156,108,2930,15.5,76,3,toyota 
16.5,8,350,180,4380,12.1,76,1,cadillac 
31.5,4,98,68,2045,18.5,77,3,honda 
30,4,111,80,2155,14.8,77,1,buick 
15,8,302,130,4295,14.9,77,1,mercury 
16,8,351,149,4335,14.5,77,1,ford 
26,4,97,75,2265,18.2,77,3,toyota 
30.5,4,97,78,2190,14.1,77,2,volkswagen 
21.5,4,121,110,2600,12.8,77,2,bmw 
36.1,4,98,66,1800,14.4,78,1,ford 
32.8,4,78,52,1985,19.4,78,3,mazda 
19.4,8,318,140,3735,13.2,78,1,dodge 
20.2,8,302,139,3570,12.8,78,1,mercury 
19.2,6,231,105,3535,19.2,78,1,pontiac 
20.5,6,225,100,3430,17.2,78,1,plymouth 
18.6,6,225,110,3620,18.7,78,1,dodge 
18.1,6,258,120,3410,15.1,78,1,amc 
19.2,8,305,145,3425,13.2,78,1,chevrolet 
17.7,6,231,165,3445,13.4,78,1,buick 
27.5,4,134,95,2560,14.2,78,3,toyota 
21.1,4,134,95,2515,14.8,78,3,toyota 
23.8,4,151,85,2855,17.6,78,1,oldsmobile 
20.3,5,131,103,2830,15.9,78,2,audi 
21.6,4,121,115,2795,15.7,78,2,saab 
31.5,4,89,71,1990,14.9,78,2,volkswagen 
20.2,6,232,90,3265,18.2,79,1,amc 
18.2,8,318,135,3830,15.2,79,1,dodge 
16.9,8,350,155,4360,14.9,79,1,buick 
15.5,8,351,142,4054,14.3,79,1,ford 
23.9,8,260,90,3420,22.2,79,1,oldsmobile 
37.3,4,91,69,2130,14.7,79,2,fiat 
26.8,6,173,115,2700,12.9,79,1,oldsmobile 
38.1,4,89,60,1968,18.8,80,3,toyota 
28,4,151,90,2678,16.5,80,1,chevrolet 
29.8,4,134,90,2711,15.5,80,3,toyota 
44.3,4,90,48,2085,21.7,80,2,vw 
43.4,4,90,48,2335,23.7,80,2,vw 
32.4,4,107,72,2290,17,80,3,honda 
25.8,4,156,92,2620,14.4,81,1,dodge 
30,4,135,84,2385,12.9,81,1,plymouth 
39.1,4,79,58,1755,16.9,81,3,toyota 
39,4,86,64,1875,16.4,81,1,plymouth 
37,4,85,65,1975,19.4,81,3,datsun 
37.7,4,89,62,2050,17.3,81,3,toyota 
34.1,4,91,68,1985,16,81,3,mazda 
33,4,105,74,2190,14.2,81,2,volkswagen 
32.9,4,119,100,2615,14.8,81,3,datsun 
31.6,4,120,74,2635,18.3,81,3,mazda 
28.1,4,141,80,3230,20.4,81,2,peugeot 
29,4,135,84,2525,16,82,1,dodge 
27,4,151,90,2735,18,82,1,pontiac 
23,4,151,?,3035,20.5,82,1,amc 
31,4,91,68,1970,17.6,82,3,mazda 
36,4,98,70,2125,17.3,82,1,mercury 
32,4,91,67,1965,15.7,82,3,honda 
26,4,156,92,2585,14.5,82,1,chrysler 
