housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
25,3250,546,1452,501,5.1084,303800
14,3894,672,1490,629,6.5206,368500
11,1281,418,1584,330,2.8889,153100
52,1650,395,841,380,3.556,179300
44,3494,635,693,415,3.6,452800
48,737,166,462,131,3.5893,212500
41,1617,423,1110,375,2.4635,169400
18,3860,760,1643,664,2.0714,92600
25,3745,522,1648,496,7.5488,278100
39,1489,304,700,268,3.8819,289900
8,2460,397,1784,390,4.5662,175500
33,1724,291,943,285,5.118,195200
20,1102,205,852,217,3.1833,108300
27,2512,506,1861,511,4.2386,184200
48,2059,388,834,405,2.9306,67900
22,3805,596,2118,621,6.2892,254200
29,1649,342,671,264,3.0602,69800
5,2618,539,1320,512,4.1053,171400
34,2352,610,1127,592,2.2,116500
6,2607,557,1266,475,3.4632,137700
16,3050,559,1444,512,5.2463,156300
25,1047,270,1505,286,2.0976,47700
36,361,63,169,62,3.7734,63800
32,1530,301,666,276,4.125,230200
24,4420,996,2981,975,3.506,226400
16,2849,506,1508,478,3.4074,72700
35,1060,191,444,196,8.0015,500001
4,5233,1109,1690,907,6.2007,311800
52,2127,512,733,288,3.3906,300000
40,973,272,1257,258,2.8214,158000
33,2868,382,1204,412,6.1825,336900
42,657,147,526,132,2.5,110200
35,1484,252,916,248,5.2657,191400
15,1575,262,716,259,5.3409,244600
2,96,18,30,16,5.3374,47500
15,5368,1312,2269,1232,5.7097,316700
11,1112,164,441,174,4.7679,169500
33,2127,414,1056,391,4.375,286100
30,1328,346,577,328,2.3284,290600
9,1580,287,465,208,6.1668,405800
26,1168,253,937,248,1.9458,146000
34,2456,410,1289,442,4.1818,224200
24,2920,601,1460,598,4.2708,218200
40,3012,616,1423,595,2.6346,100600
8,1692,253,857,251,6.9418,310500
31,40,8,25,7,2.125,375000
14,1006,187,462,185,3.1042,152000
34,2462,553,2334,502,1.641,96800
35,462,90,334,96,5.3582,281300
52,2175,510,809,503,4.5398,442000
14,1458,423,615,365,4.2798,218800
43,1902,398,1153,363,1.9375,112900
36,839,158,446,167,2.3438,122700
26,633,129,305,140,2.1827,72700
17,2652,342,1199,350,5.565,267100
52,1659,191,519,201,14.4219,500001
33,6499,998,2694,957,7.4787,431300
46,2676,427,1022,395,6.4288,295500
29,3436,731,1323,676,2.4943,122300
18,4109,1301,2103,1116,2.325,250000
37,1199,351,782,296,1.6515,61600
34,1513,384,986,336,2.6901,235600
51,175,43,228,55,2.1,75000
49,1435,322,1008,329,4,264000
45,1505,347,799,319,3.138,217000
13,2432,586,1441,606,2.5556,133100
30,918,154,469,139,3.9688,175000
36,1999,390,887,379,3.8162,221900
32,3487,740,1957,685,2.7209,88300
21,1801,507,2556,484,2.4716,102500
13,3009,588,1439,607,4.1845,199500
34,1461,299,739,276,3.4375,252600
44,2267,426,980,372,3.6,307400
22,1360,282,808,229,2.4167,225000
14,4412,924,2698,891,4.7027,227600
22,1046,195,527,164,4.375,213500
32,2084,482,1410,420,1.5321,48300
19,2526,381,1176,381,5.5136,137100
21,3460,711,658,255,3.5882,161100
22,1768,396,1005,420,1.8846,88300
31,2023,469,1073,436,1.5714,56100
38,2009,524,1449,451,2.7045,155400
49,2290,482,1201,479,3.5,113300
42,1741,301,723,306,5.5379,410500
19,2398,521,1266,471,2.7727,186800
27,2181,501,1555,488,3.6106,196400
15,3052,760,2097,728,3.3617,178100
52,433,69,147,53,3.9583,162500
39,679,164,769,179,2.3036,110600
6,3068,549,985,536,4.2009,238000
34,1649,323,919,316,2.875,74500
43,905,199,764,204,3.3214,162200
18,1741,602,508,283,3.2625,193800
44,658,218,869,212,1.9338,89400
9,2099,625,1252,554,3.1875,173100
24,2596,438,473,237,3.7727,500001
15,1387,236,638,195,5.5842,88900
5,14275,2474,7158,2311,5.4284,236300
16,352,105,226,82,1.6094,79500
18,3224,561,1310,580,8.4614,391900
21,1260,342,1167,310,0.9708,107600
22,2761,757,2612,641,1.6875,87500
2,1937,350,756,274,3,114200
44,1151,263,518,258,2.0089,113600
50,840,279,488,270,2.2097,258300
30,4114,743,1994,722,4.2227,134400
32,2307,493,1754,528,4.317,232800
33,2076,517,1374,480,2.2197,138200
9,2470,417,904,427,4.4219,209200
42,2261,574,2496,527,1.5556,98500
34,1599,294,819,306,4.3194,197000
44,1139,214,470,217,3.5481,203100
16,2687,501,1502,480,3.75,146800
34,1410,214,837,240,6.1168,213900
35,2356,478,1659,480,4.1115,179700
50,3312,1095,1475,997,2.7165,500001
32,1973,401,1322,386,3.4861,158100
34,1131,278,560,237,2.875,161700
50,2519,537,1117,516,4.3667,405600
30,762,228,840,226,2.3375,154200
4,5532,778,3651,770,7.2982,343000
17,3403,661,1540,622,3.6354,162900
21,2500,466,1428,502,2.6513,113300
6,10565,1767,5690,1555,4.1797,141000
30,2165,536,1500,414,3.5391,55900
17,2289,450,1182,397,2.3696,166800
13,8010,1366,3920,1309,5.536,204800
35,2220,388,906,373,3.5938,95200
40,1868,356,799,403,2.9306,279300
49,969,229,599,195,1.3167,71600
10,16414,2919,8907,2714,6.1552,362500
52,1580,470,714,448,3.2447,500001
16,5609,952,2624,934,5.3307,169600
9,3980,736,1705,679,5.7068,256700
27,2682,606,1010,399,3.15,86900
26,890,172,483,170,4.15,68200
36,1446,306,678,295,2.8409,153000
30,1147,260,1219,210,2.0658,93200
33,2235,506,1165,441,1.725,57500
2,6900,1238,1950,980,3.0417,146300
25,1322,387,794,379,1.1742,75000
16,4928,960,2132,853,2.7983,112500
15,619,160,287,104,1.9107,79200
13,6152,1978,3397,1845,3.4058,275000
26,2712,402,1389,377,5.6513,227900
32,404,74,144,58,4.2083,125000
38,980,285,1308,310,1.5652,123100
43,1244,209,611,197,2.875,187500
35,952,271,949,261,2.4297,147200
