DATUMS,ATVASINĀTA PUBLISKAS PERSONAS IESTĀDE,VALSTS INSTITŪCIJA  KAS NAV PADOTA MINISTRU KABINETAM,PRIVĀTPERSONA  KAS PILDA PILNVAROTU VALSTS FUNKCIJU,TIEŠĀS PĀRVALDES IESTĀDE,ATVASINĀTA PUBLISKA PERSONA,MAKSĀTNESPĒJAS PROCESA ADMINISTRATORS,TIESU IESTĀDE,PROKURATŪRA,FIZISKA PERSONA,REĢISTROS REĢISTRĒTS TIESĪBU SUBJEKTS,Kopā
2018-06-01,46,4,10,133,34,0,0,0,0,9,236
2018-07-01,4,1,1,2,2,0,0,0,0,0,10
2018-08-01,92,2,9,1,6,0,0,0,9,1,120
2018-09-01,408,7,22,1,17,0,0,0,74,5,534
2018-10-01,486,10,46,2,16,0,0,1,449,14,1024
2018-11-01,257,9,15,3,16,0,0,0,208,7,515
2018-12-01,28,4,11,3,3,0,0,0,123,10,182
2019-01-01,74,7,6,2,4,0,0,0,1599,158,1850
2019-02-01,333,3,1,0,1,0,0,0,622,42,1002
2019-03-01,3,1,3,0,0,0,0,0,505,45,557
2019-04-01,1,0,0,0,0,0,0,0,520,38,559
2019-05-01,1,1,1,0,0,0,0,0,291,32,326
2019-06-01,0,2,2,0,0,0,0,0,202,16,222
2019-07-01,4,0,0,1,0,0,0,0,187,24,216
2019-08-01,5,0,0,0,0,0,0,0,215,31,251
2019-09-01,3,0,1,0,0,0,0,0,265,56,325
2019-10-01,3,1,0,0,0,0,0,0,353,96,453
2019-11-01,0,0,1,0,0,0,0,0,566,258,825
2019-12-01,0,35,2,0,0,0,1,0,460,335,833
2020-01-01,28,54,2,0,2,0,1,0,727,256,1070
2020-02-01,27,0,0,0,0,0,0,0,381,107,515
2020-03-01,9,87,0,0,2,0,0,0,379,55,532
2020-04-01,2,2,0,0,0,0,0,0,674,44,722
2020-05-01,8,2,0,0,0,0,0,0,378,51,439
2020-06-01,7,2,0,0,0,0,0,0,335,23,367
2020-07-01,0,0,0,0,0,0,0,0,484,46,530
2020-08-01,3,0,0,0,0,0,0,0,397,27,427
2020-09-01,0,0,0,0,0,0,0,0,425,32,457
2020-10-01,1,0,0,0,0,0,0,0,505,64,570
2020-11-01,0,0,0,0,0,0,0,0,388,56,444
2020-12-01,0,0,0,0,0,0,0,0,629,63,692
2021-01-01,1,0,0,2,0,0,0,0,688,68,759
2021-02-01,2,0,0,0,0,0,0,0,907,95,1004
2021-03-01,3,1,1,0,0,0,0,0,972,68,1045
2021-04-01,3,0,0,0,0,144,14,0,2246,57,2464
2021-05-01,2,0,0,0,0,3,0,0,2369,66,2440
2021-06-01,1,0,0,0,0,0,0,0,1300,41,1342
2021-07-01,17,0,3,2,2,0,0,0,958,41,1023
2021-08-01,6,0,1,0,0,0,0,0,1088,66,1161
2021-09-01,17,0,0,0,0,0,0,0,934,69,1020
2021-10-01,17,0,1,0,1,0,0,0,1330,82,1431
2021-11-01,31,1,2,3,3,0,0,0,1580,110,1730
2021-12-01,44,0,4,0,2,0,0,0,1675,105,1830
2022-01-01,8,0,0,0,0,0,0,0,1914,164,2086
2022-02-01,47,0,0,0,0,0,0,0,6299,158,6504
2022-03-01,4,0,0,0,0,0,0,0,2981,198,3183
2022-04-01,16,1,1,1,0,0,0,0,2877,318,3214
2022-05-01,13,2,0,0,2,0,0,0,2544,596,3157
2022-06-01,4,1,1,0,0,0,0,0,1842,336,2184
2022-07-01,16,2,1,0,0,0,0,0,2039,464,2522
2022-08-01,19,0,2,1,2,0,0,0,2067,378,2469
2022-09-01,7,2,0,0,1,0,0,0,2347,581,2938
2022-10-01,1,0,0,0,0,0,0,0,2412,849,3262
2022-11-01,12,0,0,0,0,0,0,0,3038,1884,4934
2022-12-01,2,0,0,0,0,0,0,0,9722,11810,21534
2023-01-01,6,0,0,1,0,0,0,0,8321,8747,17075
2023-02-01,13,0,2,0,1,0,0,0,7071,3729,10816
2023-03-01,4,0,2,0,0,0,0,0,4909,2083,6998
2023-04-01,2,2,0,0,0,0,0,0,3670,1256,4930
2023-05-01,4,0,2,0,0,0,0,0,3982,1011,4999
2023-06-01,2,4,0,0,0,0,0,0,3861,831,4698
2023-07-01,5,0,0,0,0,0,0,0,3729,703,4437
2023-08-01,4,0,0,1,0,0,0,0,3717,736,4458
2023-09-01,7,0,1,0,0,0,0,0,3178,678,3864
2023-10-01,3,1,0,0,0,0,0,0,3865,696,4565
2023-11-01,1,0,0,0,0,0,0,0,5106,812,5919
