"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6RHYQJ4A","journalArticle","2024","Hamrani, A.; Agarwal, A.; Allouhi, A.; McDaniel, D.","Applying machine learning to wire arc additive manufacturing: a systematic data-driven literature review","Journal of Intelligent Manufacturing","","09565515 (ISSN)","10.1007/s10845-023-02171-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163770512&doi=10.1007%2fs10845-023-02171-8&partnerID=40&md5=51a15dbfac76d9fb11725ca4e5b60d9d","Due to its unique benefits over standard conventional “subtractive” manufacturing, additive manufacturing is attracting growing interest in academic and industrial sectors. Here, special emphasis is given to wire arc additive manufacturing (WAAM), a directed energy deposition process that employs arc welding tools and wire to build metallic components by deposition of weld material. The WAAM process has several advantages, e.g., low cost, rapid deposition rate, and suitability for large complex metallic components. However, many WAAM challenges such as large welding deformation, undesirable porosity, and components with high residual stress remain to be overcome. Multidisciplinary cross-fusion research involving manufacturing, material science, automation control, and artificial intelligence/machine learning (ML) are deployed to overcome the above-mentioned problems. ML enables improved product quality control, process optimization, and modeling of complex multiphysics systems in the WAAM process. This research utilizes a data-driven literature review process, a defined and deliberate approach to localizing, evaluating, and analyzing published studies in the literature. The most relevant studies in the literature are analyzed using keyword co-occurrence and cluster analysis. Numerous aspects of WAAM, including design for WAAM, material analytics/characterization, defect detection/monitoring, as well as process modeling and optimization, have been examined to identify state-of-the-art research in ML for WAAM. Finally, the challenges and opportunities for using ML in the WAAM process are identified and summarized. © This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply 2023.","2024","2024-12-14 21:09:52","2024-12-14 21:48:51","","2407-2439","","6","35","","J Intell Manuf","","","","","","","","English","","","Scopus","","","","Publisher: Springer","<p>Export Date: 14 December 2024; Cited By: 7; Correspondence Address: A. Hamrani; Department of Mechanical and Materials Engineering, Florida International University, Miami, 33174, United States; email: ahamrani@fiu.edu; CODEN: JIMNE</p>; <p>Export Date: 14 December 2024; Cited By: 7; Correspondence Address: A. Hamrani; Department of Mechanical and Materials Engineering, Florida International University, Miami, 33174, United States; email: ahamrani@fiu.edu; CODEN: JIMNE</p>; <p>Export Date: 14 December 2024; Cited By: 7; Correspondence Address: A. Hamrani; Department of Mechanical and Materials Engineering, Florida International University, Miami, 33174, United States; email: ahamrani@fiu.edu; CODEN: JIMNE</p>","","","Artificial intelligence; Machine learning; Machine-learning; Wire arc; Wire arc additive manufacturing; 3D printing; Additives; Deposition rates; Process control; Wire; Optimization; Manufacturing IS; Additive manufacturing; Additive manufacturing process; Data driven; Industrial research; Process optimisation; Literature reviews; Metallic component; Process-models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y7NUS66R","journalArticle","2024","Ferreira, R.P.; Schubert, E.; Scotti, A.","Exploring Multi-Armed Bandit (MAB) as an AI Tool for Optimising GMA-WAAM Path Planning","Journal of Manufacturing and Materials Processing","","25044494 (ISSN)","10.3390/jmmp8030099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197219204&doi=10.3390%2fjmmp8030099&partnerID=40&md5=2b38dab74dd66f06739a3cab127ca260","Conventional path-planning strategies for GMA-WAAM may encounter challenges related to geometrical features when printing complex-shaped builds. One alternative to mitigate geometry-related flaws is to use algorithms that optimise trajectory choices—for instance, using heuristics to find the most efficient trajectory. The algorithm can assess several trajectory strategies, such as contour, zigzag, raster, and even space-filling, to search for the best strategy according to the case. However, handling complex geometries by this means poses computational efficiency concerns. This research aimed to explore the potential of machine learning techniques as a solution to increase the computational efficiency of such algorithms. First, reinforcement learning (RL) concepts are introduced and compared with supervised machining learning concepts. The Multi-Armed Bandit (MAB) problem is explained and justified as a choice within the RL techniques. As a case study, a space-filling strategy was chosen to have this machining learning optimisation artifice in its algorithm for GMA-AM printing. Computational and experimental validations were conducted, demonstrating that adding MAB in the algorithm helped to achieve shorter trajectories, using fewer iterations than the original algorithm, potentially reducing printing time. These findings position the RL techniques, particularly MAB, as a promising machining learning solution to address setbacks in the space-filling strategy applied. © 2024 by the authors.","2024","2024-12-14 21:09:54","2024-12-14 21:53:27","","","","3","8","","J. Manuf. Mater. Process.","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: A. Scotti; Center for Research and Development of Welding Processes (Laprosolda), Federal University of Uberlandia (UFU), Uberlândia, MG, 38400-901, Brazil; email: americo.scotti@hv.se</p>; <p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: A. Scotti; Center for Research and Development of Welding Processes (Laprosolda), Federal University of Uberlandia (UFU), Uberlândia, MG, 38400-901, Brazil; email: americo.scotti@hv.se</p>","","","3D printing; WAAM; artificial intelligence; multi-armed bandit problem; path planning; reinforcement learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LDNA24JT","journalArticle","2024","Mattera, G.; Caggiano, A.; Nele, L.","Optimal data-driven control of manufacturing processes using reinforcement learning: an application to wire arc additive manufacturing","Journal of Intelligent Manufacturing","","09565515 (ISSN)","10.1007/s10845-023-02307-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182709118&doi=10.1007%2fs10845-023-02307-w&partnerID=40&md5=3f1f9a7f30b1bee4be27f69216e5922d","Nowadays, artificial intelligence (AI) has become a crucial Key Enabling Technology with extensive application in diverse industrial sectors. Recently, considerable focus has been directed towards utilizing AI for the development of optimal control in industrial processes. In particular, reinforcement learning (RL) techniques have made significant advancements, enabling their application to data-driven problem-solving for the control of complex systems. Since industrial manufacturing processes can be treated as MIMO non-linear systems, RL can be used to develop complex data-driven intelligent decision-making or control systems. In this work, the workflow for developing a RL application for industrial manufacturing processes, including reward function setup, development of reduced order models and control policy construction, is addressed, and a new process-based reward function is proposed. To showcase the proposed approach, a case study is developed with reference to a wire arc additive manufacturing (WAAM) process. Based on experimental tests, a Reduced Order Model of the system is obtained and a Deep Deterministic Policy Gradient Controller is trained with aim to produce a simple geometry. Particular attention is given to the sim-to-real process by developing a WAAM simulator which allows to simulate the process in a realistic environment and to generate the code to be deployed on the motion platform controller. © 2024, The Author(s).","2024","2024-12-14 21:09:55","2024-12-14 21:53:14","","","","","","","J Intell Manuf","","","","","","","","English","","","Scopus","","","","Publisher: Springer","<p>Export Date: 14 December 2024; Cited By: 13; Correspondence Address: G. Mattera; Department of Chemical, Materials and Production Engineering, University of Naples Federico II, Naples, P.le Tecchio 80, 80125, Italy; email: giulio.mattera@unina.it; CODEN: JIMNE</p>; <p>Export Date: 14 December 2024; Cited By: 13; Correspondence Address: G. Mattera; Department of Chemical, Materials and Production Engineering, University of Naples Federico II, Naples, P.le Tecchio 80, 80125, Italy; email: giulio.mattera@unina.it; CODEN: JIMNE</p>; <p>Export Date: 14 December 2024; Cited By: 13; Correspondence Address: G. Mattera; Department of Chemical, Materials and Production Engineering, University of Naples Federico II, Naples, P.le Tecchio 80, 80125, Italy; email: giulio.mattera@unina.it; CODEN: JIMNE</p>","","","Machine learning; Machine-learning; Wire arc; Wire arc additive manufacturing; 3D printing; Additives; Process control; Decision making; Industry 4.0; Controllers; Industrial manufacturing process; Linear systems; Optimal control; Optimal controls; Optimal data; Reduced order modelling; Reduced-order model; Reinforcement learning; Reinforcement learnings; Reward function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8EBNVWWA","journalArticle","2024","Silva, R.H.G.E.; Pereira, A.S.; Galeazzi, D.; Marques, C.","Analysis of the current wave in the arc phase of metal transfer in the GMAW dynamic feeding process","International Journal of Advanced Manufacturing Technology","","02683768 (ISSN)","10.1007/s00170-024-14303-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202757055&doi=10.1007%2fs00170-024-14303-2&partnerID=40&md5=30a0410fa4b39ae9bf375d18058fe640","Originally developed for application in dissimilar joints, the dynamic feeding technology applied to the GMAW process is gaining popularity with applications in wire arc additive manufacturing (WAAM). Given the growing importance of additive manufacturing (AM) in industrial production, it is essential to better understand the main tool of WAAM technology. Acknowledging the limitations imposed on current waveform parameterization in commercial welding sources, this work used a proprietary welding source, named MIG-AD, which allows full control of parameters through dedicated hardware and open-source software. This study focuses on the impact of arc phase parameters on metal transfer, namely arc pulse time, arc pulse current level, and arc base current level. The results show the impact of altering each parameter on droplet formation, wire retraction, detachment frequency, and metal bridge elongation, as well as the stability and quality of the weld bead. This research offers valuable insights for optimizing welding parameters, aiming for greater control and process customization, making it a viable alternative for advanced research in WAAM, cladding, computational simulation, and artificial intelligence applied to welding. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.","2024","2024-12-14 21:14:26","2024-12-14 21:55:10","","3293-3310","","7-8","134","","Int J Adv Manuf Technol","","","","","","","","English","","","Scopus","","","","Publisher: Springer Science and Business Media Deutschland GmbH","<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: A.S. Pereira; Mechanical Engineering Department, UFSC, LABSOLDA - Welding and Mechatronics Institute, Florianópolis, Santa Catarina, Brazil; email: tecnologoalexpereira@gmail.com; CODEN: IJATE</p>; <p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: A.S. Pereira; Mechanical Engineering Department, UFSC, LABSOLDA - Welding and Mechatronics Institute, Florianópolis, Santa Catarina, Brazil; email: tecnologoalexpereira@gmail.com; CODEN: IJATE</p>","","","Wire arc; Wire arc additive manufacturing; WAAM; Gas metal arc welding; Inert gas welding; Metal transfers; CMT; Current levels; Current waves; Drop wires; Dynamic feeding; Hot stamping; Metal transfer; MIG-AD; Open-source; Welding sources","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WRPBXHRM","journalArticle","2024","Luo, L.; Qian, E.; Lu, T.; Pan, J.; Liu, M.; Liu, C.; Guo, Y.; Bi, L.","Vision-Based Estimation of Force Balance of Near-Suspended Melt Pool for Drooping and Collapsing Prediction","Sensors","","14248220 (ISSN)","10.3390/s24113270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195851789&doi=10.3390%2fs24113270&partnerID=40&md5=488d1f386fdd8446f6f1600ccd3d0a95","Wire-arc additive manufacturing (WAAM) is favored by the industry for its high material utilization rate and low cost. However, wire-arc additive manufacturing of lattice structures faces problems with forming accuracy such as broken rod and surface morphology defects, which cannot meet the industrial demand. This article innovatively combines the melt pool stress theory with visual perception algorithms to visually study the force balance of the near-suspended melt pool to predict the state of the melt pool. First, the method for melt pool segmentation was studied. The results show that the optimized U-net achieved high accuracy in melt pool segmentation tasks, with accuracies of 98.18%, MIOU 96.64%, and Recall 98.34%. In addition, a method for estimating melt pool force balance and predicting normal, sagging, and collapsing states of the melt pool is proposed. By combining experimental testing with computer vision technology, an analysis of the force balance of the melt pool during the inclined rod forming process was conducted, showing a prediction rate as high as 90% for the testing set. By using this method, monitoring and predicting the state of the melt pool is achieved, preemptively avoiding issues of broken rods during the printing process. This approach can effectively assist in adjusting process parameters and improving welding quality. The application of this method will further promote the development of intelligent unmanned WAAM and provide some references for the development of artificial intelligence monitoring systems in the manufacturing field. © 2024 by the authors.","2024","2024-12-14 21:14:26","2024-12-14 21:55:11","","","","11","24","","Sensors","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","<p>Export Date: 14 December 2024; Cited By: 1; Correspondence Address: C. Liu; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100080, China; email: liuchangmeng@bit.edu.cn; Y. Guo; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100080, China; email: y.guo@bit.edu.cn; L. Bi; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100080, China; email: bhxblz@bit.edu.cn</p>; <p>Export Date: 14 December 2024; Cited By: 1; Correspondence Address: C. Liu; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100080, China; email: liuchangmeng@bit.edu.cn; Y. Guo; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100080, China; email: y.guo@bit.edu.cn; L. Bi; School of Mechanical Engineering, Beijing Institute of Technology, Beijing, 100080, China; email: bhxblz@bit.edu.cn</p>","","","Wire arc; 3D printing; Additives; Wire; Forecasting; Wire-arc additive manufacturing; Manufacturing IS; artificial intelligence; wire-arc additive manufacturing; Morphology; article; prediction; three dimensional printing; welding; Costs; Computer vision; Melt pool; algorithm; Broken rods; computer vision; controlled study; force; Force balances; human; image segmentation; Image segmentation; Images segmentations; Lakes; morphology; near-suspended melt pool; Near-suspended melt pool; perception and monitoring; Perception and monitoring; pharmaceutics; printing; stress theory; vision; Vision based","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82RSM9WU","journalArticle","2024","Koduru, J.P.; Kumar, T.V.; Mantrala, K.M.","A review of wire and arc additive manufacturing using different property characterization, challenges and future trends","International Journal of System Assurance Engineering and Management","","09756809 (ISSN)","10.1007/s13198-024-02472-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202598642&doi=10.1007%2fs13198-024-02472-y&partnerID=40&md5=b0ca8a05adce5264842784c14a6b39e3","Because of the reasonability of economically generating large-scale metal equipment with a very large rate of deposition, important development has been conducted in the learning of the “wire arc additive manufacturing (WAAM)” approach also the mechanical and microstructure features of the fabricated elements. The WAAM has emerged highly so the large range of the materials has accompanied the operation and its development fighting. It has enhanced as a very significant mechanism for the large metal equipment in various manufacturing organizations. Because of its arc-assisted deposition, high process cycle time, process stability, defect monitoring, and management are severe for the WAAM device to be employed in the organization. High improvements have been performed in the development of the process, control system, comprehensive operation monitoring, material evaluation, path slicing, and programming but still, it demands the improvement. Therefore, this article aims to give a detailed review of the WAAM systems to facilitate an easy and quick understanding of the current status and future prospects of WAAM. The stage-wise implementation of WAAM, usage of metals and alloys, process parameter effects, and methodologies used for improving the quality of WAAM components are discussed. The usage of hardware systems and technological parameters used for understanding the physical mechanism are also described in this research work. In addition, the monitoring systems such as acoustic sensing, optical inspection, thermal sensing, electrical sensing, and multi-sensor sensing are analyzed and the property characterization techniques also be evaluated in this study. On the other hand, the additive as well as the subtractive technologies and the artificial intelligence techniques utilized for improving the manufacturing level are discussed. Finally, the possible future research directions are provided for making further developments in WAAM by the researchers. © The Author(s) under exclusive licence to The Society for Reliability Engineering, Quality and Operations Management (SREQOM), India and The Division of Operation and Maintenance, Lulea University of Technology, Sweden 2024.","2024","2024-12-14 21:14:26","2024-12-14 21:55:12","","4563-4581","","9","15","","Intl. J. Syst. Assur. Eng. Manage.","","","","","","","","English","","","Scopus","","","","Publisher: Springer","<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: J.P. Koduru; Department of Mechanical Engineering, Koneru Lakshmaiah Education Foundation (KLEF), Vaddeswaram, Green Fields, Andhra Pradesh, 522302, India; email: jyothipadmajakoduruj@gmail.com</p>; <p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: J.P. Koduru; Department of Mechanical Engineering, Koneru Lakshmaiah Education Foundation (KLEF), Vaddeswaram, Green Fields, Andhra Pradesh, 522302, India; email: jyothipadmajakoduruj@gmail.com</p>","","","Wire arc; Deposition rates; Process control; Process monitoring; Wire and arc additive manufacturing; Hard facing; Hot stamping; Challenge and research trend; Challenges and research trends; Essential parameter; Essential parameters; Future trends; Hardware system; Hardware systems; Metal cutting; Property characterization; Property characterizations; Reasonability; Research trends; Ultrasonic devices; Utilized metal; Utilized metals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZ7QBHE7","journalArticle","2024","Xu, D.; Lu, Z.; Chen, L.; Zhang, J.","Prediction of Tensile Properties in Inconel 625 Superalloy Fabricated by Wire Arc Additive Manufacturing Using Improved Artificial Neural Network","Applied Sciences (Switzerland)","","20763417 (ISSN)","10.3390/app14083240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192775805&doi=10.3390%2fapp14083240&partnerID=40&md5=752edcb0071a91d979a6d6aa3b350f1f","This study exhibits the possibility of using an artificial neural network (ANN) to model the mechanical behavior of wire arc additive manufacturing (WAAM) for Inconel 625. For this reason, tensile tests of Inconel 625 superalloy as-built (AB) samples and samples after heat treatment at 1200 °C (HT-1200) by WAAM were performed. For the HT-1200 samples, the yield stress decreased, and the elongation increased significantly due to grain refinement and the formation of annealed twins. A new hybrid model combining a swarm intelligence optimization algorithm with a back propagation neural network (BPNN) was developed to simulate the flow behavior of the superalloy. Compared with other hybrid BPNN models that have been reported, the proposed BPNN model is in better agreement with the experimental data and provides a better description of the flow stress of the Inconel 625 superalloy. The excellent predictive ability of the model may be attributed to the optimization of the weights and thresholds of the BPNN, which obtains the optimal global solution in the search space more efficiently. © 2024 by the authors.","2024","2024-12-14 21:14:26","2024-12-14 21:55:06","","","","8","14","","Appl. Sci.","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: L. Chen; Faculty of Civil Engineering and Mechanics, Jiangsu University, Zhenjiang, 212013, China; email: chen1573@ujs.edu.cn; J. Zhang; Faculty of Civil Engineering and Mechanics, Jiangsu University, Zhenjiang, 212013, China; email: jianzhang@nwpu.edu.cn</p>; <p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: L. Chen; Faculty of Civil Engineering and Mechanics, Jiangsu University, Zhenjiang, 212013, China; email: chen1573@ujs.edu.cn; J. Zhang; Faculty of Civil Engineering and Mechanics, Jiangsu University, Zhenjiang, 212013, China; email: jianzhang@nwpu.edu.cn</p>","","","additive manufacturing; artificial neural network; Inconel 625 superalloy; mechanical properties; optimization algorithm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5U29CPQU","journalArticle","2024","Wani, Z.K.; Abdullah, A.B.","Bead Geometry Control in Wire Arc Additive Manufactured Profile — A Review","Pertanika Journal of Science and Technology","","01287680 (ISSN)","10.47836/pjst.32.2.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188927613&doi=10.47836%2fpjst.32.2.23&partnerID=40&md5=41bd5f40e02f1fc9d577d7548da04282","Wire arc additive manufacturing (WAAM) is a well-established additive manufacturing method that produces 3D profiles. A better deposition efficiency can be achieved by understanding the parameters that may influence the geometry of the bead. This paper provides a review that focuses on the factors that may influence the formation of the 3D profile. The included factors are the flow pattern of the molten pool after deposition, the built structure and orientation, the heat input and cooling conditions, the welding parameters, and other uncertainties. This review aims to facilitate a better understanding of these factors and achieve the optimum geometry of the 3D parts produced. According to the literature, the behavior of molten pools is identified as one of the major factors that can impact the deposition efficiency of a bead and govern its geometry. The review indicated that the flow behavior of the molten pool and the geometry of the deposited bead are significantly affected by most welding parameters, such as torch angle, wire travel speed, filler feed rate, and cooling conditions. Furthermore, this paper incorporates the technology utilized for comprehending the behaviors of the molten pool, as it constitutes an integral component of the control strategy. It has been concluded that automated planning and strategy are necessary to ensure efficient deposition by controlling those factors. The integration of artificial intelligence could bring benefits in planning to address the variation and complexity of shapes. © Universiti Putra Malaysia Press.","2024","2024-12-14 21:14:26","2024-12-14 21:55:08","","917-942","","2","32","","Pertanika J. Sci. Technol.","","","","","","","","English","","","Scopus","","","","Publisher: Universiti Putra Malaysia Press","<p>Export Date: 14 December 2024; Cited By: 1; Correspondence Address: A.B. Abdullah; School of Mechanical Engineering, Universit Sains Malaysia, Nibong Tebal, Pulau Pinang, 14300, Malaysia; email: mebaha@usm.my</p>; <p>Export Date: 14 December 2024; Cited By: 1; Correspondence Address: A.B. Abdullah; School of Mechanical Engineering, Universit Sains Malaysia, Nibong Tebal, Pulau Pinang, 14300, Malaysia; email: mebaha@usm.my</p>","","","wire arc additive manufacturing; Bead geometry; deposition efficient; molten pool","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHDFT748","journalArticle","2024","Alcaraz, J.Y.I.I.; Foqué, W.; Sharma, A.; Tjahjowidodo, T.","Indirect porosity detection and root-cause identification in WAAM","Journal of Intelligent Manufacturing","","09565515 (ISSN)","10.1007/s10845-023-02128-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153731551&doi=10.1007%2fs10845-023-02128-x&partnerID=40&md5=f7b588d4897ce83c1b3d0b4f822f9136","Due to the complexity of the Wire-arc Additive Manufacturing (WAAM) process, it is prone to the occurrence of defects in the product. One of the most common defects is porosity, which is detrimental to the mechanical and fatigue properties of the product. To guarantee the product quality, it is important to detect its occurrence. In this research, a strategy was developed to detect the occurrence of porosity and to identify its root cause. To develop a porosity detection strategy, a monitoring set-up was designed in which the WAAM process is monitored by a current sensor, condenser microphone, structural Acoustic Emission sensor, spectrometer and flow meter. Seventeen experiment samples were produced and the sensor data were stored using a data acquisition system. A sensor data analysis showed that current and acoustic signals could be correlated with the occurrence of porosity. From these sensor signals, 74 features were extracted. A validation of the samples, based on milling, grinding and image processing, was developed to obtain the pore density values for the corresponding feature set. A long short-term memory neural network was trained through supervised learning to classify feature data into acceptable or non-acceptable pore densities. A test accuracy of 82.52% was achieved. Apart from the porosity detection, a strategy for porosity root cause detection was developed in order to distinguish between process related porosity and contaminant related porosity. An accuracy of 90.67% was achieved, whereby the remaining inaccuracy is interpreted as a physical phenomenon and the results from the model are interpreted actually as more accurate than the prior assumption of the training labels. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.","2024","2024-12-14 21:14:26","2024-12-14 21:55:00","","1607-1628","","4","35","","J Intell Manuf","","","","","","","","English","","","Scopus","","","","Publisher: Springer","<p>Export Date: 14 December 2024; Cited By: 9; Correspondence Address: J.Y.I.I. Alcaraz; KU Leuven, Department of Mechanical Engineering, Sint-Katelijne-Waver, Jan Pieter de Nayerlaan 5, 2860, Belgium; email: yam.alcaraz@kuleuven.be; T. Tjahjowidodo; KU Leuven, Department of Mechanical Engineering, Sint-Katelijne-Waver, Jan Pieter de Nayerlaan 5, 2860, Belgium; email: tegoeh.tjahjowidodo@kuleuven.be; CODEN: JIMNE</p>; <p>Export Date: 14 December 2024; Cited By: 9; Correspondence Address: J.Y.I.I. Alcaraz; KU Leuven, Department of Mechanical Engineering, Sint-Katelijne-Waver, Jan Pieter de Nayerlaan 5, 2860, Belgium; email: yam.alcaraz@kuleuven.be; T. Tjahjowidodo; KU Leuven, Department of Mechanical Engineering, Sint-Katelijne-Waver, Jan Pieter de Nayerlaan 5, 2860, Belgium; email: tegoeh.tjahjowidodo@kuleuven.be; CODEN: JIMNE</p>","","","Artificial intelligence; Wire arc; Wire arc additive manufacturing; 3D printing; Additives; Defects; Smart manufacturing; Quality monitoring; Additive manufacturing process; Data acquisition; Acoustic emission testing; Image processing; Brain; Grinding (machining); Long short-term memory; Long short-term memory network; Memory network; Pore densities; Root cause; Root cause identification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7H9JNPX7","conferencePaper","2024","Gulia, V.; Nargundkar, A.","Application of Evolutionary Algorithms for Optimizing Wire and Arc Additive Manufacturing Process","Smart Innov. Syst. Technol.","21903018 (ISSN); 978-981995520-6 (ISBN)","","10.1007/978-981-99-5180-2_52","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177055090&doi=10.1007%2f978-981-99-5180-2_52&partnerID=40&md5=4fa6fcacc2995e0f1aef049ccfb8ed54","Additive manufacturing is a recent trend in production processes owing to its sustainable approach. As a process in itself, additive manufacturing represents a more sustainable means of production as it eliminates the use of excess material and thus unnecessary waste. Wire and ARC additive manufacturing (WAAM) process is an important metal additive manufacturing process. The improvements in surface quality and dimensional accuracy are critical for WAAM. In the current work, two contemporary artificial intelligence (AI)-based algorithms, teaching learning–based optimization (TLBO) and particle swarm optimization (PSO), are applied for optimizing the five process parameters such as wire feeder, pulse voltage, frequency, pulse time, and welding speed with four objectives such as current, voltage, heat input, and width-to-reinforcement ratio which are considered as referred from Youheng et al. (Int. J. Adv. Manuf. Technol. 91:301–313, 2017). The results obtained with TLBO and PSO are comparable and improved by 24%, 32%, and 42% for the minimization of voltage, heat input, and maximization of width-to-reinforcement ratio, respectively. Both algorithms are observed to be robust. The convergence analysis for the algorithms is also discussed. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd 2024.","2024","2024-12-14 21:21:41","2024-12-14 21:54:56","","671-683","","","364","","","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","Journal Abbreviation: Smart Innov. Syst. Technol.","<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: V. Gulia; Symbiosis Institute of Technology, Symbiosis International (Deemed University), Lavale, Pune, 412115, India; email: vikas.gulia@sitpune.edu.in; Conference name: Congress on Control, Robotics, and Mechatronics, CRM 2023; Conference date: 25 March 2023 through 26 March 2023; Conference code: 303719</p>; <p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: V. Gulia; Symbiosis Institute of Technology, Symbiosis International (Deemed University), Lavale, Pune, 412115, India; email: vikas.gulia@sitpune.edu.in; Conference name: Congress on Control, Robotics, and Mechatronics, CRM 2023; Conference date: 25 March 2023 through 26 March 2023; Conference code: 303719</p>","","","3D printing; Additives; Wire; Optimization; Optimisations; Additive manufacturing process; Heat input; Teaching-learning-based optimizations; Particle swarm optimization (PSO); Evolutionary algorithms; Optimization algorithms; Particle swarm; Particle swarm optimization algorithm; PSO algorithm; Reinforcement; Swarm optimization; Teaching learning–based optimization algorithm; TLBO algorithm; Wire and ARC additive manufacturing","","Jha P.K.; Tripathi B.; Natarajan E.; Sharma H.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Smart Innovation, Systems and Technologies","","","","","","","","","","","","","","",""
