"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GBDPAPQH","journalArticle","2024","Subadra, S.P.; Mayer, E.; Wachtel, P.; Sheikhi, S.","Feasibility study on machine learning methods for prediction of process-related parameters during WAAM process using SS-316L filler material","Welding in the World","","00432288 (ISSN)","10.1007/s40194-024-01855-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208026934&doi=10.1007%2fs40194-024-01855-w&partnerID=40&md5=edc02d3798022b00ef1fcb64ff2c7870","The geometry of objects by means of wire arc additive manufacturing technology (WAAM) is a function of the quality of the deposited layers. The process parameters variation and heat flow affect the geometric precision of the parts, when compared to the actual dimensions. Therefore, in situ geometry monitoring which is integrated in such a way to enable a backward control model is essential in the WAAM process. In this article, an attempt is made to study the effect of four input variables, namely voltage (U), welding current (I), travel speed and wire feed rate on the output function in the form of two geometrical characteristics of a single weld bead. These output functions which are determinant of the weld quality are width of weld bead (BW) and height of weld bead (BH). A machine learning approach is utilised to predict the bead dimensions based on the input parameters and to predict the parameters by assigning suitable scores. For predicting the bead dimensions, two models, namely linear regression and random forest, shall be utilised, whereas for the purpose of classification based on weld parameters, k-nearest neighbours model shall be employed. Through this work, a wide dataset of parameters in the form of input variable and output in the form bead dimensions are generated for 316LSi filler material which shall be used as a training data for a machine learning algorithm. Subsequently, the predicted parameters shall be cross-checked with actual parameters. © The Author(s) 2024.","2024","2024-12-14 21:09:50","2024-12-14 21:49:51","","3205-3214","","12","68","","Weld. World","","","","","","","","English","","","Scopus","","","","Publisher: Springer Science and Business Media Deutschland GmbH","<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: S.P. Subadra; Institute of Materials Science and Joining Technology, University of Applied Science Hamburg, Hamburg, Berliner Tor 13, 20099, Germany; email: sharath.peethambaransubadra@haw-hamburg.de; S. Sheikhi; Institute of Materials Science and Joining Technology, University of Applied Science Hamburg, Hamburg, Berliner Tor 13, 20099, Germany; email: shahram.sheikhi@haw-hamburg.de; CODEN: WDWRA</p>; <p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: S.P. Subadra; Institute of Materials Science and Joining Technology, University of Applied Science Hamburg, Hamburg, Berliner Tor 13, 20099, Germany; email: sharath.peethambaransubadra@haw-hamburg.de; S. Sheikhi; Institute of Materials Science and Joining Technology, University of Applied Science Hamburg, Hamburg, Berliner Tor 13, 20099, Germany; email: shahram.sheikhi@haw-hamburg.de; CODEN: WDWRA</p>","","","316L steel; Additive manufacturing technology; Filler materials; Input variables; Linear regression; Machine learning; Machine-learning; Nearest neighbor search; Parameter; Parameters; Predictions; Random forests; Weld bead; Weld bead geometry; Wire arc; Wire arc additive manufacturing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXK5CRAV","journalArticle","2024","Guo, Y.; Zhang, Y.; Pan, Z.; Zhou, W.","Recent progress of sensing and machine learning technologies for process monitoring and defects detection in wire arc additive manufacturing","Journal of Manufacturing Processes","","15266125 (ISSN)","10.1016/j.jmapro.2024.07.060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199374471&doi=10.1016%2fj.jmapro.2024.07.060&partnerID=40&md5=52a7f11b18837a00c0956fdb8f9da7ad","Wire Arc Additive Manufacturing possesses advantages of high deposition rate and low cost compared with other metal additive manufacturing processes. However, potential defects may occur during the process, such as pores, cracks, lack of fusion, inclusions, delamination, and geometrical deviations. These defects are undesirable and have negative effects. To optimize the performance of the as-built components, and to reduce the potential defects, a feasible solution is to conduct in-process sensing and provide feedback to the control system. This article aims to give a comprehensive review of recent progress on sensing technologies, such as optical, acoustic, vision, thermal, and multiple signals-based sensing technologies, and the application of machine learning to enhance the ability to extract the needed feedback from the in-process monitoring raw data. Effective monitoring of different types of defects typically requires different sensing technologies, focus points, and attentions. Multi-sensor-based sensing systems may thus be needed to provide full-scale information. These necessities include the need for in-time data fusion and more complex data processing. This review analyzes recently explored sensing technologies for their principles and remaining challenges to provide directions for future invention, exploration, and investigation. © 2024 The Society of Manufacturing Engineers","2024","2024-12-14 21:09:50","2024-12-14 21:49:53","","489-511","","","125","","J. Manuf. Processes","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","<p>Export Date: 14 December 2024; Cited By: 4; Correspondence Address: Z. Pan; School of Mechanical, Materials, Mechatronic and Biomedical Engineering, University of Wollongong, Wollongong, 2522, Australia; email: zengxi@uow.edu.au</p>; <p>Export Date: 14 December 2024; Cited By: 4; Correspondence Address: Z. Pan; School of Mechanical, Materials, Mechatronic and Biomedical Engineering, University of Wollongong, Wollongong, 2522, Australia; email: zengxi@uow.edu.au</p>","","","Machine learning; Machine-learning; Wire arc; Wire arc additive manufacturing; 3D printing; Additives; Data fusion; Data handling; Defects; Deposition rates; Detection; Engineering education; Feedback; In-process; In-process sensing; Potential defects; Process control; Process monitoring; Process sensing; Recent progress; Sensing technology; Wire; Wire arc additive manufacturing (WAAM)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8DK9IF3","journalArticle","2024","Fagersand, H.M.; Morin, D.; Mathisen, K.M.; He, J.; Zhang, Z.","Transferability of Temperature Evolution of Dissimilar Wire-Arc Additively Manufactured Components by Machine Learning","Materials","","19961944 (ISSN)","10.3390/ma17030742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184680514&doi=10.3390%2fma17030742&partnerID=40&md5=bac0956716997303b4f3be2b883831a0","Wire-arc additive manufacturing (WAAM) is a promising industrial production technique. Without optimization, inherent temperature gradients can cause powerful residual stresses and microstructural defects. There is therefore a need for data-driven methods allowing real-time process optimization for WAAM. This study focuses on machine learning (ML)-based prediction of temperature history for WAAM-produced aluminum bars with different geometries and process parameters, including bar length, number of deposition layers, and heat source movement speed. Finite element (FE) simulations are used to provide training and prediction data. The ML models are based on a simple multilayer perceptron (MLP) and performed well during baseline training and testing, giving a testing mean absolute percentage error (MAPE) of less than 0.7% with an 80/20 train–test split, with low variation in model performance. When using the trained models to predict results from FE simulations with greater length or number of layers, the MAPE increased to an average of 3.22% or less, with greater variability. In the cases of greatest difference, some models still returned a MAPE of less than 1%. For different scanning speeds, the performance was worse, with some outlier models giving a MAPE of up to 14.91%. This study demonstrates the transferability of temperature history for WAAM with a simple MLP approach. © 2024 by the authors.","2024","2024-12-14 21:09:50","2024-12-14 21:49:54","","","","3","17","","Mater.","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","<p>Export Date: 14 December 2024; Cited By: 2; Correspondence Address: Z. Zhang; Department of Structural Engineering, Norwegian University of Science and Technology (NTNU), Trondheim, 7491, Norway; email: zhiliang.zhang@ntnu.no</p>; <p>Export Date: 14 December 2024; Cited By: 2; Correspondence Address: Z. Zhang; Department of Structural Engineering, Norwegian University of Science and Technology (NTNU), Trondheim, 7491, Norway; email: zhiliang.zhang@ntnu.no</p>","","","machine learning; Machine learning; Machine-learning; Wire arc; 3D printing; Additives; additive manufacturing; Aluminum coatings; Deposition; finite element method; Finite element method; Finite elements simulation; Forecasting; Machine components; Multilayers perceptrons; neural networks; Neural-networks; Optimization; Percentage error; Simple++; Temperature evolution; temperature history; Temperature history; WAAM; Well testing; Wire-arc additive manufacturing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RTKDK2E","conferencePaper","2024","Biswas, P.; Rajitha, A.; Revathi, V.; Thethi, H.P.; Mohammed, S.H.; Yadav, D.K.","Revolutionizing Wire Arc Additive Manufacturing: Advances in Geometric Accuracy and Surface Finish Optimization","OPJU Int. Technol. Conf. Smart Comput. Innov. Adv. Ind. 4.0, OTCON","979-835037378-3 (ISBN)","","10.1109/OTCON60325.2024.10687444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206886595&doi=10.1109%2fOTCON60325.2024.10687444&partnerID=40&md5=282599a5bd610b2c220cde65cbe007e5","Wire Arc Additive Manufacturing (WAAM) continues to be a dynamic area of research, with the pursuit of enhanced performance parameters guiding advancements in the field. This study introduces a groundbreaking WAAM method distinguished by its adaptive control strategy, integrating a suite of algorithms to achieve superior outcomes. The proposed method excels in critical aspects such as layer thickness control, thermal imaging accuracy, path planning efficiency, in-situ monitoring reliability, surface tension optimization, and machine learning model performance. A comprehensive comparative analysis, presented through tables and figures, highlights the consistent superiority of the proposed method across diverse parameters. Visualizations, including line charts, pie charts, stacked bar charts, scatter plots, bubble charts, and waterfall charts, offer a nuanced perspective on performance distribution and relationships between key parameters. The proposed method's adaptability, precision, and versatility position it as a promising advancement in WAAM technologies, contributing to the ongoing evolution of additive manufacturing processes. As the additive manufacturing landscape continues to evolve, this research serves as a foundational resource for advancing the capabilities of WAAM methods, pushing the boundaries of what is achievable in modern manufacturing technologies.  © 2024 IEEE.","2024","2024-12-14 21:09:50","2024-12-14 21:49:56","","","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Journal Abbreviation: OPJU Int. Technol. Conf. Smart Comput. Innov. Adv. Ind. 4.0, OTCON","<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: P. Biswas; Government Engineering College, Electronics & Telecommunications, Jagdalpur, C.G, India; email: preesat.eipl@gmail.com; Conference name: 2024 OPJU International Technology Conference on Smart Computing for Innovation and Advancement in Industry 4.0, OTCON 2024; Conference date: 5 June 2024 through 7 June 2024; Conference code: 203017</p>; <p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: P. Biswas; Government Engineering College, Electronics & Telecommunications, Jagdalpur, C.G, India; email: preesat.eipl@gmail.com; Conference name: 2024 OPJU International Technology Conference on Smart Computing for Innovation and Advancement in Industry 4.0, OTCON 2024; Conference date: 5 June 2024 through 7 June 2024; Conference code: 203017</p>","","","Wire arc; Wire arc additive manufacturing; Adaptive control; Adaptive Control; Adaptive control systems; Comparative study; Comparatives studies; In-situ monitoring; In-situ monitoring reliability; Layer thickness; Layer thickness control; Optimisations; Path planning efficiency; Performance parameters; Photomapping; Reliability analysis; Smart manufacturing; Surface tension optimization; Thermal imaging accuracy; Thermal-imaging; Thermography (imaging); Wire Arc Additive Manufacturing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 OPJU International Technology Conference on Smart Computing for Innovation and Advancement in Industry 4.0, OTCON 2024","","","","","","","","","","","","","","",""
"8NWCERZQ","journalArticle","2022","Bong Kim, D.; Shao, G.; Jo, G.","A digital twin implementation architecture for wire + arc additive manufacturing based on ISO 23247","Manufacturing Letters","","22138463 (ISSN)","10.1016/j.mfglet.2022.08.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137181849&doi=10.1016%2fj.mfglet.2022.08.008&partnerID=40&md5=57c2cab70f5176a23597318df99a1ca8","Digital twin (DT) is an enabling technology characterized by integrating cyber and physical spaces. It is well-fitted to additive manufacturing since it can benefit from digitalized assets and data analytics for the process control. Wire + arc additive manufacturing (WAAM) is being increasingly recognized due to its fabrication of large-scale parts. This paper proposes a generalized DT implementation architecture for WAAM based on ISO 23247 to address integration and interoperability issues. It will enable manufacturers to leverage DT for the real-time decision-making and control. An application scenario of machine learning-based anomaly detection for WAAM is used to explain the architecture. © 2022 Society of Manufacturing Engineers (SME)","2022","2024-12-14 21:09:51","2024-12-14 21:49:47","","1-5","","","34","","Manuf. Let.","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","<p>Export Date: 14 December 2024; Cited By: 19</p>; <p>Export Date: 14 December 2024; Cited By: 19</p>","","","Wire arc; Additives; Wire; 3D printers; Anomaly detection; Data analytics; Data Analytics; Decision making; Digital Twin; Enabling technologies; Implementation architecture; ISO 23247; Large-scales; Manufacturing IS; Real time decision-making; Real-time decision making; Wire + arc additive manufacturing; Wire + Arc Additive Manufacturing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9VR9CBB","journalArticle","2023","Shin, S.-J.; Hong, S.-H.; Jadhav, S.; Kim, D.B.","Detecting balling defects using multisource transfer learning in wire arc additive manufacturing","Journal of Computational Design and Engineering","","22884300 (ISSN)","10.1093/jcde/qwad067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165969635&doi=10.1093%2fjcde%2fqwad067&partnerID=40&md5=7459a1c8a07e09b3de60dcd28ba2a798","Wire arc additive manufacturing (WAAM) has gained attention as a feasible process in large-scale metal additive manufacturing due to its high deposition rate, cost efficiency, and material diversity. However, WAAM induces a degree of uncertainty in the process stability and the part quality owing to its non-equilibrium thermal cycles and layer-by-layer stacking mechanism. Anomaly detection is therefore necessary for the quality monitoring of the parts. Most relevant studies have applied machine learning to derive data-driven models that detect defects through feature and pattern learning. However, acquiring sufficient data is time- and/or resource-intensive, which introduces a challenge to applying machine learning-based anomaly detection. This study proposes a multisource transfer learning method that generates anomaly detection models for balling defect detection, thus ensuring quality monitoring in WAAM. The proposed method uses convolutional neural network models to extract sufficient image features from multisource materials, then transfers and fine-tunes the models for anomaly detection in the target material. Stepwise learning is applied to extract image features sequentially from individual source materials, and composite learning is employed to assign the optimal frozen ratio for converging transferred and present features. Experiments were performed using a gas tungsten arc welding-based WAAM process to validate the classification accuracy of the models using low-carbon steel, stainless steel, and Inconel. © 2023 The Author(s).","2023","2024-12-14 21:09:51","2024-12-14 21:49:23","","1423-1442","","4","10","","J. Comput. Des. Eng.","","","","","","","","English","","","Scopus","","","","Publisher: Oxford University Press","<p>Export Date: 14 December 2024; Cited By: 5; Correspondence Address: D.B. Kim; Department of Manufacturing and Engineering Technology, Tennessee Technological University, Cookeville, 920 North Peachtree Ave., 38505, United States; email: dkim@tntech.edu</p>; <p>Export Date: 14 December 2024; Cited By: 5; Correspondence Address: D.B. Kim; Department of Manufacturing and Engineering Technology, Tennessee Technological University, Cookeville, 920 North Peachtree Ave., 38505, United States; email: dkim@tntech.edu</p>","","","machine learning; Wire arc; Wire arc additive manufacturing; 3D printing; Defects; Deposition rates; Wire; Anomaly detection; Large-scales; additive; anomaly; anomaly detection; artificial neural network; Convolution; Convolutional neural network; convolutional neural networks; Convolutional neural networks; domain adaptation; Domain adaptation; Extraction; Feature extraction; Gas metal arc welding; Gas welding; Image features; local adaptation; Low carbon steel; manufacturing; Multi-Sources; Neural network models; Quality monitoring; stacking; transfer learning; Transfer learning; tungsten; wire arc additive manufacturing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSKF4655","journalArticle","2022","Zhou, Z.; Shen, H.; Liu, B.; Du, W.; Jin, J.; Lin, J.","Residual thermal stress prediction for continuous tool-paths in wire-arc additive manufacturing: a three-level data-driven method","Virtual and Physical Prototyping","","17452759 (ISSN)","10.1080/17452759.2021.1997259","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118661043&doi=10.1080%2f17452759.2021.1997259&partnerID=40&md5=c50f32428302e13938f0d05d79bb176a","Continuous tool-path is often chose to improve the deposition efficiency and surface accuracy of metal additive manufacturing, while it also causes large residual thermal stress, which will result in part deformation and performance degradation. This paper focused on wire-arc additive manufacturing (WAAM) with arbitrary part geometries and continuous tool-paths, and proposed a three-level data-driven method to predict the residual thermal stress filed accurately and rapidly. The first two-level of the proposed method predict the thermal field history of the whole WAAM process. The third level of the proposed method realises the residual thermal stress field prediction of WAAM based on above prediction results. Each level is based on a machine learning method, and their data were obtained based on the finite element method. The prediction accuracy of the proposed method exceeded 92%, and the time cost of one prediction process was only at the second level. © 2021 Informa UK Limited, trading as Taylor & Francis Group.","2022","2024-12-14 21:09:51","2024-12-14 21:47:34","","105-124","","1","17","","Virtual Phys. Prototyping","","","","","","","","English","","","Scopus","","","","Publisher: Taylor and Francis Ltd.","<p>Export Date: 14 December 2024; Cited By: 14; Correspondence Address: H. Shen; The State Key Laboratory of Fluid Power and Mechatronic Systems, College of Mechanical Engineering, Zhejiang University, Hangzhou, 310027, China; email: shenhongyao@zju.edu.cn</p>; <p>Export Date: 14 December 2024; Cited By: 14; Correspondence Address: H. Shen; The State Key Laboratory of Fluid Power and Mechatronic Systems, College of Mechanical Engineering, Zhejiang University, Hangzhou, 310027, China; email: shenhongyao@zju.edu.cn</p>","","","machine learning; Machine learning; Wire arc; Additives; Wire; Forecasting; Wire-arc additive manufacturing; 3D printers; Data-driven methods; Residual thermal stress; residual thermal stress field prediction; Residual thermal stress field prediction; Thermal field; thermal field history prediction; Thermal field history prediction; Thermal stress; Thermal stress field; Three-level; Toolpaths","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZB2TME8","journalArticle","2022","Xiao, X.; Waddell, C.; Hamilton, C.; Xiao, H.","Quality Prediction and Control in Wire Arc Additive Manufacturing via Novel Machine Learning Framework","Micromachines","","2072666X (ISSN)","10.3390/mi13010137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123053719&doi=10.3390%2fmi13010137&partnerID=40&md5=2db6d02c009dc08e2f68f02c4325ff0f","Wire arc additive manufacturing (WAAM) is capable of rapidly depositing metal materials thus facilitating the fabrication of large-shape metal components. However, due to the multi-process-variability in the WAAM process, the deposited shape (bead width, height, depth of penetration) is difficult to predict and control within the desired level. Ultimately, the overall build will not achieve a near-net shape and will further hinder the part from performing its functionality without post-processing. Previous research primarily utilizes data analytical models (e.g., regression model, artificial neural network (ANN)) to forwardly predict the deposition width and height variation based on single or cross-linked process variables. However, these methods cannot effectively determine the optimal printable zone based on the desired deposition shape due to the inability to inversely deduce from these data analytical models. Additionally, the process variables are intercorrelated, and the bead width, height, and depth of penetration are highly codependent. Therefore, existing analysis cannot grant a reliable prediction model that allows the deposition (bead width, height, and penetration height) to remain within the desired level. This paper presents a novel machine learning framework for quantitatively analyzing the correlated relationship between the process parameters and deposition shape, thus providing an optimal process parameter selection to control the final deposition geometry. The proposed machine learning framework can systematically and quantitatively predict the deposition shape rather than just qualitatively as with other existing machine learning methods. The prediction model can also present the complex process-quality relations, and the determination of the deposition quality can guide the WAAM to be more prognostic and reliable. The correctness and effectiveness of the proposed quantitative process-quality analysis will be validated through experiments. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","2022","2024-12-14 21:09:51","2024-12-14 21:49:19","","","","1","13","","Micromachines","","","","","","","","English","","","Scopus","","","","Publisher: MDPI","<p>Export Date: 14 December 2024; Cited By: 56; Correspondence Address: C. Hamilton; Mechanical and Manufacturing Engineering Department, Miami University, Oxford, 45056, United States; email: hamiltbc@miamioh.edu; H. Xiao; School of Transportation and Logistics Engineering, Wuhan University of Technology, Wuhan, 430062, China; email: xhb@whut.edu.cn</p>; <p>Export Date: 14 December 2024; Cited By: 56; Correspondence Address: C. Hamilton; Mechanical and Manufacturing Engineering Department, Miami University, Oxford, 45056, United States; email: hamiltbc@miamioh.edu; H. Xiao; School of Transportation and Logistics Engineering, Wuhan University of Technology, Wuhan, 430062, China; email: xhb@whut.edu.cn</p>","","","Machine learning; Wire arc; Wire arc additive manufacturing; Additives; Process control; Wire; Wire arc additive manufacturing (WAAM); Deposition; Forecasting; 3D printers; Analytical models; Bead width; Depths of penetration; Neural networks; Novel machine learning framework; Prediction modelling; Process quality; Process Variables; Quality prediction; Quantitative process-quality analyse; Quantitative process-quality analysis; Regression analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PU972MW","journalArticle","2023","Rajesh, A.; Ya, W.; Hermans, M.","Anomaly Detection in WAAM Deposition of Nickel Alloys—Single-Material and Cross-Material Analysis","Metals","","20754701 (ISSN)","10.3390/met13111820","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178383894&doi=10.3390%2fmet13111820&partnerID=40&md5=0ba77473b5847437abc7dfeebb959144","The current research work investigates the possibility of using machine learning models to deduce the relationship between WAAM (wire arc additive manufacturing) sensor responses and defect presence in the printed part. The work specifically focuses on three materials from the nickel alloy family (Inconel 718, Invar 36 and Inconel 625) and uses three sensor responses for data analysis, which are welding voltage, welding current and welding audio. Two different machine learning models are used—artificial neural networks (ANNs) and random forests (RF). The results for each of the materials, separately, indicate that the accuracies range from 60% to 90% and the correlation coefficient is less than 0.5 (indicating weak positive correlation), depending on the model and material. In addition to separate material analysis, a cross-material data analysis was formed to test the models’ general prediction capabilities. This led to predictions that are significantly worse, with accuracies ranging from 20% to 27% and very weak correlation coefficients (less than 0.1), indicating that the choice of material is still important as a boundary condition. Analysis of the results indicates that the relative importance of audio sensor response depends on the nature of defect formation. Random forests are found to perform the best for single material analysis, with the comparatively inferior performance of ANNs possibly being due to lack of sufficient datapoints. © 2023 by the authors.","2023","2024-12-14 21:09:51","2024-12-14 21:49:32","","","","11","13","","Metals","","","","","","","","English","","","Scopus","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","<p>Export Date: 14 December 2024; Cited By: 4; Correspondence Address: A. Rajesh; Department of Materials Science and Engineering, Delft University of Technology, Delft, Mekelweg 2, 2628 CD, Netherlands; email: aditya@ramlab.com</p>; <p>Export Date: 14 December 2024; Cited By: 4; Correspondence Address: A. Rajesh; Department of Materials Science and Engineering, Delft University of Technology, Delft, Mekelweg 2, 2628 CD, Netherlands; email: aditya@ramlab.com</p>","","","machine learning; WAAM; anomaly detection; cross-material prediction; nickel alloys","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QBY8M6T9","journalArticle","2021","Reimann, J.; Hammer, S.; Henckell, P.; Rohe, M.; Ali, Y.; Rauch, A.; Hildebrand, J.; Bergmann, J.P.","Directed energy deposition-arc (Ded-arc) and numerical welding simulation as a hybrid data source for future machine learning applications","Applied Sciences (Switzerland)","","20763417 (ISSN)","10.3390/app11157075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111692505&doi=10.3390%2fapp11157075&partnerID=40&md5=9f224cfa0f0775f7a0b07f8dde4d5f01","This research presents a hybrid approach to generate sample data for future machine learning applications for the prediction of mechanical properties in directed energy deposition-arc (DED-Arc) using the GMAW process. DED-Arc is an additive manufacturing process which offers a cost-effective way to generate 3D metal parts, due to its high deposition rate of up to 8 kg/h. The mechanical properties additively manufactured wall structures made of the filler material G4Si1 (ER70 S-6) are shown in dependency of the t8/5 cooling time. The numerical simulation is used to link the process parameters and geometrical features to a specific t8/5 cooling time. With an input of av-erage welding power, welding speed and geometrical features such as wall thickness, layer height and heat source size a specific temperature field can be calculated for each iteration in the simulated welding process. This novel approach allows to generate large, artificial data sets as training data for machine learning methods by combining experimental results to generate a regression equation based on the experimentally measured t8/5 cooling time. Therefore, using the regression equations in combination with numerically calculated t8/5 cooling times an accurate prediction of the mechanical properties was possible in this research with an error of only 2.6%. Thus, a small set of experimentally generated data set allows to achieve regression equations which enable a precise prediction of mechanical properties. Moreover, the validated numerical welding simulation model was suitable to achieve an accurate calculation of the t8/5 cooling time, with an error of only 0.3%. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","2021","2024-12-14 21:09:51","2024-12-14 21:49:30","","","","15","11","","Appl. Sci.","","","","","","","","English","","","Scopus","","","","Publisher: MDPI AG","<p>Export Date: 14 December 2024; Cited By: 8; Correspondence Address: J. Reimann; Production Technology Group, Technische Universität Ilmenau, Ilmenau, D-98693, Germany; email: jan.reimann@tu-ilmenau.de</p>; <p>Export Date: 14 December 2024; Cited By: 8; Correspondence Address: J. Reimann; Production Technology Group, Technische Universität Ilmenau, Ilmenau, D-98693, Germany; email: jan.reimann@tu-ilmenau.de</p>","","","Wire arc; Wire arc additive manufacturing; WAAM; Gas metal arc welding; Additive manufacturing; Arc; DED-Arc; Directed energy deposition-arc; GMAW; Numerical welding simulation; Wire-based","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
