Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
DMSG3IAV,journalArticle,2024,"Alaparthi, S.; Subadra, S.P.; Sheikhi, S.","A Smart, Data-Driven Approach to Qualify Additively Manufactured Steel Samples for Print-Parameter-Based Imperfections",Materials,,19961944 (ISSN),10.3390/ma17112513,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195827196&doi=10.3390%2fma17112513&partnerID=40&md5=3a40924e8133d7503ff14e9d42df335e,"With additive manufacturing (AM) processes such as Wire Arc Additive Manufacturing (WAAM), components with complex shapes or with functional properties can be produced, with advantages in the areas of resource conservation, lightweight construction, and load-optimized production. However, proving component quality is a challenge because it is not possible to produce 100% defect-free components. In addition to this, statistically determined fluctuations in the wire quality, gas flow, and their interaction with process parameters result in a quality of the components that is not 100% reproducible. Complex testing procedures are therefore required to demonstrate the quality of the components, which are not cost-effective and lead to less efficiency. As part of the project “3DPrintFEM”, a sound emission analysis is used to evaluate the quality of AM components. Within the scope of the project, an approach was being developed to determine the quality of an AM part dependent not necessarily on its geometry. Samples were produced from WAAM, which were later cut and milled to precision. To determine the frequencies, the samples were put through a resonant frequency test (RFM). The unwanted modes were then removed from the spectrum produced by the experiments by comparing it with FEM simulations. Later, defects were introduced in experimental samples in compliance with the ISO 5817 guidelines. In order to create a database of frequencies related to the degree of the sample defect, they were subjected to RFM. The database was further augmented through frequencies from simulations performed on samples with similar geometries, and, hence, a training set was generated for an algorithm. A machine-learning algorithm based on regression modelling was trained based on the database to sort samples according to the degree of flaws in them. The algorithm’s detectability was evaluated using samples that had a known level of flaws which forms the test dataset. Based on the outcome, the algorithm will be integrated into an equipment developed in-house to monitor the quality of samples produced, thereby having an in-house quality assessment routine. The equipment shall be less expensive than conventional acoustic equipment, thus helping the industry cut costs when validating the quality of their components. © 2024 by the authors.",2024,2024-12-14 21:09:51,2024-12-14 21:49:49,,,,11,17,,Mater.,,,,,,,,English,,,Scopus,,,,Publisher: Multidisciplinary Digital Publishing Institute (MDPI),"<p>Export Date: 14 December 2024; Cited By: 1; Correspondence Address: S.P. Subadra; Institute of Materials Science and Joining Technology, University of Applied Science Hamburg, Hamburg, Berliner Tor 13, D-20099, Germany; email: sharath.peethambaransubadra@haw-hamburg.de</p>; <p>Export Date: 14 December 2024; Cited By: 1; Correspondence Address: S.P. Subadra; Institute of Materials Science and Joining Technology, University of Applied Science Hamburg, Hamburg, Berliner Tor 13, D-20099, Germany; email: sharath.peethambaransubadra@haw-hamburg.de</p>",,,Machine learning; Wire arc; 3D printing; Additives; Defects; additive manufacturing; Gas metal arc welding; Gas welding; Additive manufacturing process; Gas metal-arc welding; acoustics; Conservation; Cost effectiveness; data acquisition; Data acquisition; Data-driven approach; defects; Flow of gases; gas metal arc welding; Learning algorithms; Manufacturing components; microstructure; Natural frequencies; Non destructive testing; non-destructive testing; Nondestructive examination; porosity; Powder metals; quality; Quality; Quality control; SMART datum; sorting algorithm; Sorting algorithm; Statistical tests; Steel samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2LF62F3U,journalArticle,2024,"Saravana Kumar, M.; Jeyaprakash, N.; Yang, C.-H.",Effect of combined parametric impacts on collapsing the wall quality of WAAM Al5356 component,Engineering Failure Analysis,,13506307 (ISSN),10.1016/j.engfailanal.2024.108848,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203407954&doi=10.1016%2fj.engfailanal.2024.108848&partnerID=40&md5=cd8b4e1e03fb4b58ed91f6141cddf8c8,"Even though Wire and Arc Additive Manufacturing (WAAM) of the Al5356 component has garnered attention for making affordable, large-scale components, problems with porosity, humping, and undercut still exist. Therefore, optimising process parameters is crucial to achieving flawless products with consistent layer deposition. Hence in this research, the most important WAAM parameters including travel speed (TS), wire feed speed (WFS), and torch angle (TA), were examined in order to determine how they affected structural integrity while taking into account key responses such as porosity, pore diameter, and tensile strength. The Significance of Criteria Weighted Aggregated Sum Product Assessment (WASPAS) in conjunction with Intercriteria Correlation (CRITIC) was used to investigate the favourable circumstances and confirm that the TA is the most important parameter in the nucleation of pores. The verification studies demonstrate that a 58.2 % reduction in pore diameter results in a 31.8 % increase in tensile strength. An ideal TS and WFS of 65 cm/min and 5 m/min, with a maximum TA of 90°, were found to be the favorable conditions for printing Al5356 wall with a minimum porosity of 0.037 %, enhanced ultimate tensile strength of 278 MPa, and minimum pore diameter of 93 µm, according to the CRITIC associated WASPAS approach. Additionally, using the fractography, the damage process based on the porosity creation was investigated. The optimal parameters for generating a defect-free multi-layer structure were identified, hence enhancing the structure's suitability for industrial use. © 2024 Elsevier Ltd",2024,2024-12-14 21:20:34,2024-12-14 21:20:34,,,,,166,,Eng. Fail. Anal.,,,,,,,,English,,,Scopus,,,,Publisher: Elsevier Ltd,"<p>Export Date: 14 December 2024; Cited By: 1; Correspondence Address: M. Saravana Kumar; Graduate Institute of Manufacturing Technology, National Taipei University of Technology, Taipei, 10608, Taiwan; email: saravana312@gmail.com; CODEN: EFANE</p>",,,WAAM; Large-scales; Wire and arc additive manufacturing; Tensile strength; Process parameters; Travel speed; Aluminium; Damage detection; Feed speed; Pore diameter; Pore diameters; Porosity; Product assessment; Sum product; Torch angle; Wall quality; Wire products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGXMDM32,journalArticle,2025,"Yang, J.; Yi, H.; Jia, L.; Dong, Z.; Cao, H.",Particle sedimentation in cored-wire-arc directed energy deposition: Particle migration and suppression mechanism via ultrasonic vibration,International Journal of Heat and Mass Transfer,,00179310 (ISSN),10.1016/j.ijheatmasstransfer.2024.126446,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208980722&doi=10.1016%2fj.ijheatmasstransfer.2024.126446&partnerID=40&md5=296eaf4e0902e8acd8b7c64aebe4cb6f,"Cored-wire-arc directed energy deposition (DED), as an emerging manufacturing technology, can achieve multi-material additive manufacturing and satisfy the demand for structural-functional integration. However, high-density particles will sink and aggregate at the bottom of molten pool, which will cause defects such as cracks or porosity, decreasing the bonding between the deposited layers and deteriorating the mechanical properties of the components. Therefore, it is essential to investigate the migration behavior of particles in molten pool and the suppression strategy to improve formation quality. Here, a three-dimensional numerical model is developed to reveal the molten pool dynamics and particles migration mechanism during cored-wire-arc DED. The influence of molten droplets impingement and molten pool flow on particles migration behavior in the additive manufacturing process is investigated. Furthermore, the effect regulation of relative velocity between particle and molten pool on particles migration behavior is analyzed mechanistically, which reveals the sedimentation mechanism of the particles. Results demonstrate that molten pool flow velocity will influence the relative velocity between particles and molten pool, which will decide the acceleration of particles; moreover, the particles will sink while the relative velocity is in the same direction with gravity or the relative velocity is lower. Finally, ultrasonic vibration (UV) is introduced to suppress the sedimentation and aggregation of particles, and the corresponding suppression mechanism is revealed. UV will increase the flow velocity of molten pool, which will suppress the sedimentation and agglomeration of particles, as well as reduce the temperature gradient of molten pool, increasing the depth of penetration. This work provides a foundation for further improving the quality of components fabricated via cored-wire-arc DED. © 2024 Elsevier Ltd",2025,2024-12-14 21:20:36,2024-12-14 21:20:36,,,,,237,,Int. J. Heat Mass Transf.,,,,,,,,English,,,Scopus,,,,Publisher: Elsevier Ltd,"<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: H. Yi; State Key Laboratory of Mechanical Transmission, Chongqing University, Chongqing, 400044, China; email: haoyi@cqu.edu.cn; CODEN: IJHMA</p>",,,Wire arc; Directed energy; Energy depositions; Molten pool; Ultrasonic effects; Ultrasonic testing; Ultrasonic waves; Cored wires; Cored-wire-arc directed energy deposition; Particle migration; Particle migration behavior; Particle sedimentation; Sedimentation; Ultrasonic velocity; Ultrasonic vibration; Ultrasonic-vibration; Vibration analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3VDCJ3P,journalArticle,2024,"Cheng, H.; Luo, H.; Cheng, J.; Hao, W.; Song, J.; Xu, G.",Optimizing the corrosion resistance of additive manufacturing TC4 titanium alloy in proton exchange membrane water electrolysis anodic environment,International Journal of Hydrogen Energy,,03603199 (ISSN),10.1016/j.ijhydene.2024.10.440,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208137325&doi=10.1016%2fj.ijhydene.2024.10.440&partnerID=40&md5=ef921e6be28d5bcc4616b9e9425d7a17,"Titanium alloys are commonly used as the bipolar plate material in proton exchange membrane water electrolysis (PEMWE). However, traditional machining methods are difficult to process titanium alloy parts, which further increases the cost of bipolar plates. The wire-arc directed energy deposition (WA-DED) additive manufacturing (AM) technology is low cost and high utilization of material. However, the undesirable microstructure always restricts the performance improvement. In this work, the electrochemical corrosion and passive characteristics of wrought TC4 and WA-DED AM TC4 alloys in the simulated PEMWE anode environment were investigated. The microstructure of AM TC4 alloy was optimized and the corrosion resistance was enhanced by heat treatment. The results indicate that the corrosion resistance of AM TC4 alloy is better than wrought TC4 alloy, and appropriate heat treatment can further improve the stability of passive film. Compared to wrought TC4, Ti −β phase fraction of AM TC4 decreased from 9.6 % to 1.3 %, and the heat treatment further reduced Ti −β phase fraction of AM TC4-850 and AM TC4-1050 alloys to 0.8 % and 0.1 %. The passive film thickness of wrought TC4, AM TC4, AM TC4-850, and AM TC4-1050 alloys calculated with the Power-Law model were 0.5 nm, 1.76 nm, 1.94 nm, and 2.02 nm, respectively. After heat treatment of 1050 °C, AM TC4-1050 alloy exhibited the best corrosion resistance, showing the lowest corrosion current density of 54 μA/cm2 and the lowest passive current density of 19.5 μA/cm2. Moreover, Ti oxide contributed most to the composition of passive film. In AM TC4-1050 alloy, the percentage of Ti oxides was 80.9 %, showing the best corrosion resistance. © 2024 Hydrogen Energy Publications LLC",2024,2024-12-14 21:20:37,2024-12-14 21:20:37,,753-769,,,93,,Int J Hydrogen Energy,,,,,,,,English,,,Scopus,,,,Publisher: Elsevier Ltd,"<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: H. Luo; National Materials Corrosion and Protection Data Center, Institute for Advanced Materials and Technology, University of Science and Technology Beijing, Beijing, 100083, China; email: luohong@ustb.edu.cn; CODEN: IJHED</p>",,,Wire arc; Additive manufacturing; Titanium alloys; Directed energy; Energy depositions; Corrosion resistance; Hard facing; Epitaxial growth; Titanium (alloys); After-heat treatment; Heat treatment; Corrosion resistant alloys; Electrochemical corrosion; Mercury amalgams; Passive films; Phase fractions; Proton exchange membrane water electrolyse; Proton exchange membrane water electrolysis; Proton exchange membranes; TC4 alloys; Titanium alloy; Titanium oxides; Water electrolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LQEM6RLQ,journalArticle,2024,"Kumar, M.S.; Jeyaprakash, N.; Yang, C.-H.",Intensify the hindrance to gas entrapment on the construction of Al 5356 thin-walled structure by tuning the WAAM process parameters,Physica Scripta,,00318949 (ISSN),10.1088/1402-4896/ad896e,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208289455&doi=10.1088%2f1402-4896%2fad896e&partnerID=40&md5=6ce96bfbaa39041b4fc5eea029b5bcaa,"Compared to other metallic additive manufacturing methods, Wire Arc Additive Manufacturing (WAAM) has a number of advantages, such as less equipment capital required and more material composition flexibility. However, uneven welding and feed rates, as well as inadequate gas flow, can result in flaws such oxidation, gas entrapment, and humping. This study aims to reduce gas entrapment, maximize tensile strength, and reduced elastic modulus of the WAAM Al5356 wall by optimizing gas flow rate (13, 16 and 19 l min−1) in conjunction with welding and feed rates. The study highlighted gas flow rate as the most important component in pore formation and used the Entropy approach in conjunction with the COmplex PRoportional ASsessment (COPRAS) tool to identify ideal settings. The reduction in gas entrapment to 0.02%, as shown in the confirmation studies, resulted in a 33.9% rise in tensile strength and a 64.7% rise in elastic modulus. To verify these ideal parameters, elastic modulus mapping was done on the printed WAAM Al5356 wall. Moreover, the damage processes connected to gas entrapment and humping development were examined using fractography. Consequently, the research determined the ideal conditions to generate a multi-layer structure free of defects, improving its practicality in aerospace and automotive sectors. © 2024 IOP Publishing Ltd. All rights, including for text and data mining, AI training, and similar technologies, are reserved.",2024,2024-12-14 21:20:37,2024-12-14 21:20:37,,,,12,99,,Phys Scr,,,,,,,,English,,,Scopus,,,,Publisher: Institute of Physics,"<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: M.S. Kumar; Graduate Institute of Manufacturing Technology, National Taipei University of Technology, Taipei, 10608, Taiwan; email: saravana312@gmail.com; CODEN: PHSTB</p>",,,Wire arc; Wire arc additive manufacturing; WAAM; Gas welding; Metallic additives; Additive manufacturing process; Electric welding; Manufacturing process parameters; Gas flowrate; aluminium; elastic modulus; Feedrate; Gas entrapments; gas flow; humping; Humping; Petroleum tar; Thin walled structures; Thin-walled structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZJM5BPEL,journalArticle,2024,"Lekkala, N.; Prasad, K.S.",Parametric optimization of weld bead of aluminium 6061 fabricated through wire arc additive manufacturing,Engineering Research Express,,26318695 (ISSN),10.1088/2631-8695/ad80fa,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207288935&doi=10.1088%2f2631-8695%2fad80fa&partnerID=40&md5=b10bbac913d9233d037bb30707f9d853,"Additive fabrication with wire arc shown tremendous advancements in recent years. The current study investigates the effect of welding conditions on the width of an additively produced layer by using Gas Metal Arc Welding - Cold Metal Transfer welding. Further, the Taguchi method was used to optimize the effect of weld settings on layer width which was additively deposited. The wire spool is made of Aluminium 6061, which has a wide range of industrial applications. Flaws, porosity, waviness,and weld bead's discontinuity on a surface could be minimized by the assortment and optimization of parameters or else, strange forms would emerge during creation of slender wall construction utilising Wire Arc Additive manufacturing. In Taguchi, an L9 Orthogonal array was utilised to investigate the input parameters namely wire feed speed, weld speed and voltage. The main plots identify the best parameter combination, while the analysis of variance determines the significant parameters. For the response variable, a linear regression approach is used to create a numerical model. The minimum width of bead of 2.39 mm is achieved at weld velocity of 0.9 m/min with wire feed speed of 6 m/min and at voltage of 12 V. The maximum width of the bead was 6.40 mm, achieved at weld velocity of 0.6 m/min with wire feed speed of 8 m/min at a voltage of 16 V. After optimising the parameters, confirmation tests are run, and the outcomes are compared to the initial outcome. © 2024 IOP Publishing Ltd. All rights, including for text and data mining, AI training, and similar technologies, are reserved.",2024,2024-12-14 21:20:37,2024-12-14 21:20:37,,,,4,6,,Eng. Res. Exp.,,,,,,,,English,,,Scopus,,,,Publisher: Institute of Physics,<p>Export Date: 14 December 2024; Cited By: 0</p>,,,optimization; Linear regression; Weld bead; Wire arc; Wire arc additive manufacturing; Wire; Optimisations; Gas metal arc welding; Gas welding; 'current; Feed speed; Additive fabrication; Aluminium 6061; Cold welding; Parametric optimization; taguchi method; Taguchi's methods; weld bead; wire Arc additive manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HDECBAJ,journalArticle,2024,"Yuan, T.; Xu, D.; Jiang, X.; Chen, S.",Origins and optimization mechanisms of periodic microstructures in Al-Cu alloys fabricated by wire arc additive manufacturing combined with Interlayer Friction Stir Processing,Materials Science and Engineering: A,,09215093 (ISSN),10.1016/j.msea.2024.147337,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205560499&doi=10.1016%2fj.msea.2024.147337&partnerID=40&md5=5c0ee336544811ea4a8ce906f451678f,"Inter-layer Friction Stir Processing on Arc Additive Manufactured Components offers significant potential for performance enhancement, yet the homogenization of microstructures has become a challenge for industrial application. To address this, 2319 Al-Cu alloy components were fabricated through the Wire Arc Additive Manufacturing + Interlayer Friction Stir Processing (WAAM-IFSP)1 technique, and a systematic study was conducted on the effects of deformation degree, deformation temperature, and strain rate changes on the microstructural evolution, revealing three distinct periodic microstructures. An increase in deformation degree resulted in a uniform periodic microstructure, attributed to the more uniform internal deformation caused by the increased deformation degree. At a deformation degree of 24.1 %, higher strength and ductility were achieved, along with a notable bimodal grain structure (BGS). Further research indicated that this structure would distribute more widely within the matrix with increasing strain rate, aiding in further performance breakthroughs, ultimately reaching an ultimate tensile strength (UTS) of 404 MPa and an elongation (EL) of 32 %. However, imperfections in the process led to inhomogeneity in the structure. Focusing on the dynamic recrystallization (DRX) mechanisms during stirring can improve this phenomenon. The research revealed that the fine grains in the BGS were controlled by a synergy of dominant discontinuous dynamic recrystallization (DDRX) and auxiliary continuous dynamic recrystallization (CDRX) nucleation mechanisms. The findings are expected to provide a theoretical basis for the optimization of WAAM-IFSP processes and microstructural and performance regulation, which is crucial for enhancing the industrial application prospects of aluminum alloys. © 2024",2024,2024-12-14 21:20:44,2024-12-14 21:20:44,,,,,916,,Mater. Sci. Eng. A,,,,,,,,English,,,Scopus,,,,Publisher: Elsevier Ltd,"<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: S. Chen; Institute of Intelligent Forming Equipment and System, College of Mechanical & Energy Engineering, Beijing University of Technology, Beijing, 100124, China; email: sjchen@bjut.edu.cn</p>",,,Wire arc; Wire arc additive manufacturing; Tensile strength; Strain rate; Mechanical; Property; Mechanical properties; Dynamic recrystallization; Copper alloys; Friction stir processing; Metal castings; Deformation degrees; Dynamic recrystallisation; Dynamic recrystallization mechanism; Dynamic recrystallization mechanisms; Periodic microstructure; Recrystallization mechanisms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y5LHKZKY,journalArticle,2024,"Wang, G.; Zhang, M.; Fu, Y.; Zhang, H.; Zhai, W.; Lu, Y.; Li, R.",Isotropy of fatigue crack growth in hybrid additive manufactured Ti6Al4V ELI titanium alloy,Materials Science and Engineering: A,,09215093 (ISSN),10.1016/j.msea.2024.146850,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197346824&doi=10.1016%2fj.msea.2024.146850&partnerID=40&md5=cccf1c3c98b99ce9d977be8a0df07b78,"In the present paper, the effects of macrostructure and microstructure on fatigue crack growth (FCG) behavior of wire and arc additive manufacturing (WAAM) and hybrid additive manufacturing with in-situ rolling (HAMR) were investigated in three sampling directions for Ti6Al4V ELI. The results demonstrate that WAAMed samples exhibit coarse columnar grains with zigzag boundaries, interlayer heat affected band (HAB), and basketweave microstructures. The fatigue crack growth rate (FCGR) is lowest in the Y-X direction while being similar between the X–Y and X-Z directions, indicating significant anisotropy. This difference can be attributed to changes in plastic region size and internal slip characteristics near the crack tip caused by variations in macrostructure and microstructure. After applying HAMR with quasi-β heat treatment, interlayer HABs are eliminated, resulting in uniform equiaxed grains and colony microstructures. The FCGR curves in three directions significantly overlap without any observed anisotropy, which are lower than those obtained for traditionally forged materials. Therefore, the isotropic FCGR of plastic materials can be reduced by achieving a nearly flawless metallurgical quality and ensuring uniform equiaxed grain matching with the corresponding critical colony size and fine thickness lamellae. The findings suggest that the application of quasi-β heat treatment in conjunction with HAMR offers a promising high-efficiency manufacturing technique for producing isotropic titanium alloy forgings characterized by exceptional damage tolerance. © 2024 Elsevier B.V.",2024,2024-12-14 21:20:48,2024-12-14 21:20:48,,,,,909,,Mater. Sci. Eng. A,,,,,,,,English,,,Scopus,,,,Publisher: Elsevier Ltd,"<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: Y. Fu; School of Materials Science and Engineering, Huazhong University of Science and Technology, Wuhan, 430074, China; email: fuyouhenghust@qq.com</p>",,,3D printing; Additives; Titanium alloys; Aluminum alloys; Ductile fracture; Titanium (alloys); Anisotropy; Textures; Heat treatment; Columnar grain; Titanium alloy; Fatigue crack propagation; Equi-axed grains; Crack tips; Hybrid additive manufacturing; Fatigue crack growth; Fatigue crack growth behavior; Fatigue crack growth rates; Growth rate; Isotropics; Isotropy; Macrostructures; Z-directions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELW26ME,journalArticle,2024,"Singla, J.; Kumar, N.; Bansal, A.",Microstructural and mechanical properties of Al-5356 alloy structures fabricated using direct energy deposition (DED): In-pursuit to optimizing deposition parameters,Materials Characterization,,10445803 (ISSN),10.1016/j.matchar.2024.114321,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203165750&doi=10.1016%2fj.matchar.2024.114321&partnerID=40&md5=d8fbf3349718a62299a2d5234edc4ff9,"Many industries including aerospace make extensive use of lightweight materials like aluminium alloys because of their extraordinary properties. Wire Arc Additive Manufacturing-Cold Metal Transfer (WAAM-CMT) as a part of modern direct energy deposition technique can be recommended for developing aerospace components of aluminium alloys. However, it is still necessary to investigate the impact of the combined change of developing parameters on some of the crucial qualities including metallurgical and mechanical properties. Therefore, in this part of research work, practically, various process parameters were tried for development of aluminium (Al-5356) alloy walls. Finaly, a specific set of parameters namely wire feed speed, scanning speed and inter layer temperature parameters with two levels of each were selected and with the assistance of these, four walls have been fabricated. Th preliminary analysis showed that low heat input accompanied by higher scanning speed of 60 cm/min and lower wire feed rate of 6 m/min was found to best suitable set of parameters for developing dimensionally stable Al wall with flaw less microstructure. The said set of parameters also showed higher hardness that also accompanied with finer grains, lower percentage towards high angle grain boundary and lower KAM. Even slight variation in these parameters that deal to high heat input can give rise of porosity and misalignment in the wall. Details of microhardness reported high hardness in the bottom part of the wall. However, in a single bead the hardness is higher in the top region, which may be owing to finer grains in the specified region. The above said set of parameters also able to deliver better tensile strength and toughness for Al-5356 alloy. The developed alloy showed improved strength in longitudinal orientation owing to intra layer failure with ductile mode of fracture in contrast to transverse orientation, where the failure mode was reported to mixed (ductile as well as brittle) owing to inter layer fracture. © 2024 Elsevier Inc.",2024,2024-12-14 21:20:48,2024-12-14 21:20:48,,,,,216,,Mater Charact,,,,,,,,English,,,Scopus,,,,Publisher: Elsevier Inc.,"<p>Export Date: 14 December 2024; Cited By: 0; Correspondence Address: A. Bansal; Sant Longowal Institute of Engineering and Technology, Sangrur, Longowal, Punjab, 148106, India; email: anujbansal@sliet.ac.in; CODEN: MACHE</p>",,,Wire arc; Cold metal transfers; Energy depositions; Heat input; Microhardness; Aerospace industry; Brinell Hardness; Rockwell hardness; Brittle fracture; Ductile fracture; Impact strength; Inter-layers; Al-5356; EBSD; Fracture toughness; High hardness; Scanning speed; Tensile and impact strength; WAAM-CMT; Wire arc additive manufacturing-cold metal transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9S8SQ4I7,journalArticle,2024,"Dai, P.; Li, A.; Zhang, J.; Chen, R.; Luo, X.; Wen, L.; Wang, C.; Lv, X.",Research Status and Development Trend of Wire Arc Additive Manufacturing Technology for Aluminum Alloys,Coatings,,20796412 (ISSN),10.3390/coatings14091094,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205087561&doi=10.3390%2fcoatings14091094&partnerID=40&md5=85cbec01feb42b59acdf1f5975e5c582,"It is difficult for traditional aluminum alloy manufacturing technology to meet the requirements of large-scale and high-precision complex shape structural parts. Wire Arc additive manufacturing technology (WAAM) is an innovative production method that presents the unique advantages of high material utilization, a large degree of design freedom, fast prototyping speed, and low cast. As a result, WAAM is suitable for near-net forming of large-scale complex industrial production and has a wide range of applications in aerospace, automobile manufacturing, and marine engineering fields. In order to serve as a reference for the further development of WAAM technology, this paper provides an overview of the current developments in WAAM both from the digital control system and processing parameters in summary of the recent research progress. This work firstly summarized the principle of simulation layering and path planning and discussed the influence of relative technological parameters, such as current, wire feeding speed, welding speed, shielding gas, and so on. It can be seen that both the welding current and wire feeding speed are directly proportional to the heat input while the travel speed is inversely proportional to the heat input. This process regulation is an important means to improve the quality of deposited parts. This paper then summarized various methods including heat input, alloy composition, and heat treatment. The results showed that in the process of WAAM, it is necessary to control the appropriate heat input to achieve minimum heat accumulation and improve the performance of the deposited parts. To obtain higher mechanical properties (tensile strength has been increased by 28%–45%), aluminum matrix composites by WAAM have proved to be an effective method. The corresponding proper heat treatment can also increase the tensile strength of WAAM Al alloy by 104.3%. In addition, mechanical properties are always assessed to evaluate the quality of deposited parts. The mechanical properties including the tensile strength, yield strength, and hardness of the deposited parts under different processing conditions have been summarized to provide a reference for the quality evaluation of the deposition. Examples of industrial products fabricated by WAAM are also introduced. Finally, the application status of WAAM aluminum alloy is summarized and the corresponding future research direction is prospected. © 2024 by the authors.",2024,2024-12-14 21:20:48,2024-12-14 21:20:48,,,,9,14,,Coatings,,,,,,,,English,,,Scopus,,,,Publisher: Multidisciplinary Digital Publishing Institute (MDPI),"<p>Export Date: 14 December 2024; Cited By: 2; Correspondence Address: P. Dai; School of Materials Science and Engineering, Xi’an Shiyou University, Xi’an, 710065, China; email: daipanviola@163.com; X. Luo; State Key Laboratory of Solidification Processing, Northwestern Polytechnical University, Xi’an, 710072, China; email: luoxian@nwpu.edu.cn</p>",,,wire arc additive manufacturing; aluminum alloy; formation process; research progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
