OriginalCompanyName,CleanedCompanyName,Status,Timestamp,Score
artielle/c.,artielle/c.,not found in KBO data table,2024-12-26 16:24:13,2
paulca sprl,paulca,ENT LP Stopped,2024-12-26 16:24:31,5
peeters/joseph,peeters/joseph,not found in KBO data table,2024-12-26 16:24:50,2
fiducial expertise,fiducial expertise,EU Stopped,2024-12-26 16:25:09,5
faja lobi,faja lobi,ENT LP Active,2024-12-26 16:25:26,1
fondation pour l'architecture,fondation pour l'architecture,not found in KBO data table,2024-12-26 16:25:43,2
dialogic sa [dialogic s.a.],dialogic sa [dialogic s.a.],not found in KBO data table,2024-12-26 16:26:01,2
cambier d,cambier d,not found in KBO data table,2024-12-26 16:26:17,2
gun productions bvba,gun productions,ENT LP Active,2024-12-26 16:26:34,1
konica minolta business solutions (belgium) nv,konica minolta business solutions (belgium),EU Active,2024-12-26 16:26:51,1
dethier b sa,dethier b sa,not found in KBO data table,2024-12-26 16:27:07,2
demeestere rik,demeestere rik,not found in KBO data table,2024-12-26 16:27:24,2
briffaerts bvba,briffaerts,ENT LP Stopped,2024-12-26 16:27:41,5
notteboom/sofie,notteboom/sofie,not found in KBO data table,2024-12-26 16:27:57,2
dams alex bvba [dams alex chape-industrievloeren],dams alex  [dams alex chape-industrievloeren],not found in KBO data table,2024-12-26 16:28:13,2
kapas bvba,kapas,EU Active,2024-12-26 16:28:29,1
mto [m.t.o.],mto [m.t.o.],not found in KBO data table,2024-12-26 16:28:46,2
raes d,raes d,not found in KBO data table,2024-12-26 16:29:02,2
charlier tuinen bvba,charlier tuinen,ENT LP Active,2024-12-26 16:29:18,1
serafino decoratie bvba,serafino decoratie,ENT LP Active,2024-12-26 16:29:34,1
ceulenaere,ceulenaere,not found in KBO data table,2024-12-26 16:29:50,2
pm zeefdruk,pm zeefdruk,EU Active,2024-12-26 16:30:07,1
beauty spot (the),beauty spot (the),not found in KBO data table,2024-12-26 16:30:23,2
s.v.t. bvba,s.v.t.,ENT LP Active,2024-12-26 16:30:40,1
activeidea sa,activeidea sa,not found in KBO data table,2024-12-26 16:30:57,2
rifo bvba,rifo,ENT LP Active,2024-12-26 16:31:14,1
bulcke p,bulcke p,not found in KBO data table,2024-12-26 16:31:30,2
garden sides,garden sides,EU Stopped,2024-12-26 16:31:47,5
bs parts,bs parts,not found in KBO data table,2024-12-26 16:32:03,2
stoa [stoa nv],stoa [stoa ],not found in KBO data table,2024-12-26 16:32:19,2
nijs/steven,nijs/steven,not found in KBO data table,2024-12-26 16:32:35,2
ubca,ubca,not found in KBO data table,2024-12-26 16:32:51,2
van de pol,van de pol,not found in KBO data table,2024-12-26 16:33:10,2
nextage,nextage,ENT LP Active,2024-12-26 16:33:27,1
medata nv,medata,ENT LP Stopped,2024-12-26 16:33:44,5
orangette (l'),orangette (l'),not found in KBO data table,2024-12-26 16:34:02,2
exelmans kristof,exelmans kristof,not found in KBO data table,2024-12-26 16:34:19,2
jmp cars,jmp cars,not found in KBO data table,2024-12-26 16:34:36,2
